AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.41045
AGID00111	913	sc-23957	Old	1433EPSILON	0.69786
AGID00101	883	sc-1019	Old	1433ZETA	0.089455
AGID00001	2	9452	Old	4EBP1	-0.59268
AGID00002	3	9456	Old	4EBP1_pS65	1.0882
AGID00003	6	9459	Old	4EBP1_pT37T46	2.2581
AGID00443	8	9455	Old	4EBP1_pT70	0.44363
AGID00120	985	4937	Old	53BP1	1.0576
AGID00004	13	3661	Old	ACC_pS79	-1.076
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.66312
AGID00408	2372	3658	Set181	AceCS1	-1.398619
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.7862
AGID00404	2367	9189	Set181	ACSL1	-0.2784756
AGID02144	2450	PA5-27081	Old	ACVRL1	0.18563
AGID00186	1198	ab88574	Old	ADAR1	-0.13842
AGID00146	1084	4691	Old	AKT	0.86249
AGID00028	230	9271	Old	AKT_pS473	0.3047
AGID00170	1154	2965	Old	AKT_pT308	0.13527
AGID00316	1800	3063	Set181	Akt2	-0.8103694
AGID00347	2009	8599	Set181	Akt2_pS474	-0.6181476
AGID02215	2577	ab195377	Set181	ALKBH5	-0.5789869
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.4686272
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.4412448
AGID00006	39	2532	Old	AMPKALPHA	-0.20295
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.51906
AGID00193	1208	610066	Old	ANNEXIN1	-1.6265
AGID00166	1142	610668	Old	ANNEXINVII	0.50994
AGID00371	756	1852-1/ab52615	Old	AR	0.36142
AGID00194	1217	4432	Old	ARAF	-0.24516
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.36092
AGID00260	1053	sc-32761	Old	ARID1A	0.39949
AGID00264	1560	HPA029318	Old	ASNS	0.40911
AGID00276	1612	3415	Set181	Atg3	-0.03310547
AGID00309	1775	13507	Set181	Atg4B	0.03320643
AGID00310	1776	12994	Set181	Atg5	-0.1441966
AGID00277	1613	8558	Set181	Atg7	-0.3070861
