AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.041359
AGID00111	913	sc-23957	Old	1433EPSILON	0.0094302
AGID00101	883	sc-1019	Old	1433ZETA	-0.22905
AGID00001	2	9452	Old	4EBP1	-0.32422
AGID00002	3	9456	Old	4EBP1_pS65	-0.33713
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.50973
AGID00443	8	9455	Old	4EBP1_pT70	-0.35984
AGID00120	985	4937	Old	53BP1	0.0094206
AGID00004	13	3661	Old	ACC_pS79	0.72816
AGID00005	14	1768-1/ab45174	Old	ACC1	0.9866
AGID00408	2372	3658	Set163	AceCS1	-0.0260355
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.6001
AGID00404	2367	9189	Set163	ACSL1	-0.299875
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.066454
AGID00186	1198	ab88574	Old	ADAR1	-0.26134
AGID00146	1084	4691	Old	AKT	0.20383
AGID00028	230	9271	Old	AKT_pS473	-0.20718
AGID00170	1154	2965	Old	AKT_pT308	-0.33251
AGID00316	1800	3063	Set163	Akt2	-0.18101
AGID00347	2009	8599	Set163	Akt2_pS474	0.2970844
AGID02215	2577	ab195377	Set163	ALKBH5	0.4521598
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.06533916
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.02274009
AGID00006	39	2532	Old	AMPKALPHA	-0.31207
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.23328
AGID00193	1208	610066	Old	ANNEXIN1	-0.68258
AGID00166	1142	610668	Old	ANNEXINVII	0.27938
AGID00371	756	1852-1/ab52615	Old	AR	2.3556
AGID00194	1217	4432	Old	ARAF	0.39459
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.022307
AGID00260	1053	sc-32761	Old	ARID1A	0.31976
AGID00264	1560	HPA029318	Old	ASNS	-0.79441
AGID00276	1612	3415	Set163	Atg3	0.01519494
AGID00309	1775	13507	Set163	Atg4B	0.1517445
AGID00310	1776	12994	Set163	Atg5	-0.4080551
AGID00277	1613	8558	Set163	Atg7	0.124815
AGID00242	1363	2873	Old	ATM	0.46102
AGID02142	2447	13050	Set163	ATM_pS1981	0.2083599
AGID00217	1289	ab14748	Set163	ATP5A	-0.1785456
AGID02145	2451	PA5-43776	Set163	ATP5H	0.07342998
AGID02150	2456	13934	Set163	ATR	-0.00361803
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.09667125
AGID00268	1569	ab97508	Set163	ATRX	-0.4970376
AGID00391	2332	14475	Set163	Aurora-A	-0.247215
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.142445
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.0647887
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set163	b-Actin	-0.04430526
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.01440999
AGID00301	1725	14058	Set163	B7-H3	-0.2792659
AGID00302	1726	14572	Set163	B7-H4	0.1830797
AGID00008	63	9291	Old	BAD_pS112	0.093699
AGID00009	71	1542-1/ab32371	Old	BAK	-0.70838
AGID00192	1207	sc-28383	Old	BAP1C4	-0.31352
AGID00010	73	2772	Old	BAX	-0.30583
AGID00433	80	M0887	Old	BCL2	0.64875
AGID00219	1299	PAB8528	Old	BCL2A1	0.22762
AGID00012	84	1018-1	Old	BCLXL	-0.18866
AGID00377	87	sc-10086	Old	BECLIN	0.020955
AGID00011	75	9562	Old	BETACATENIN	-0.43374
AGID00013	88	1008-1/ab32060	Old	BID	-0.032675
AGID00180	90	1036-1/ab32158	Old	BIM	0.28201
AGID00221	1311	610978	Set163	BiP-GRP78	0.1064094
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.06452496
AGID00355	92	1647/ab33899	Old	BRAF	-0.10756
AGID00014	94	2696	Old	BRAF_pS445	0.26718
AGID00445	761	9012	Old	BRCA2	-0.11261
AGID00266	1567	13440	Old	BRD4	-0.10148
AGID00168	1146	2865	Set163	c-Abl_pY412	0.1889943
AGID00278	1615	3130	Set163	c-IAP2	0.003959896
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.020118
AGID00429	2407	2679	Set163	Calnexin	-0.06464525
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.08736992
AGID00623	111	9665	Old	CASPASE3	-0.41758
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.71852
AGID00118	951	9746	Old	CASPASE8	-0.12288
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.5811
AGID00358	2100	ab76000	Set163	CD134	0.2498736
AGID00303	1737	826701	Set163	CD171	-0.380945
AGID00410	125	1632-1/ab78237	Old	CD20	-0.13044
AGID00220	1308	ab28340	Old	CD26	0.074816
AGID00191	1206	610467	Set163	CD29	-0.09999535
AGID00017	127	M0823	Old	CD31	0.1252
AGID00369	2174	ab108403	Set163	CD38	-0.05529498
AGID00359	2104	ab133616	Set163	CD4	-0.4235763
AGID00411	1398	3570	Set163	CD44	-0.4208101
AGID00237	1352	M070101-2	Set163	CD45	-0.2196252
AGID00115	937	611016	Old	CD49B	0.026742
AGID02171	2482	91882	Set163	CD86	-0.351835
AGID00329	1873	4688	Set163	cdc25C	0.1407
AGID00227	1332	4651	Set163	Cdc42	0.07692479
AGID00422	2396	3387	Set163	Cdc6	-0.2698351
AGID00501	1007	9112	Old	CDK1	-0.18237
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.307735
AGID00314	1783	4539	Old	CDK1_pY15	-0.0038967
AGID00423	2397	8064	Set163	CDT1	0.4665196
AGID02101	2348	15102	Set163	cGAS	-0.179575
AGID00447	2410	13460	Set163	CHD1L	-0.5919868
AGID00189	1203	2360	Old	CHK1	-0.030386
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.14404
AGID00107	903	2348	Old	CHK1_pS345	-0.28461
AGID00018	146	3440	Old	CHK2	-0.20719
AGID00019	147	2197	Old	CHK2_pT68	0.033072
AGID00527	2078	4952	Old	CIAP	-0.035827
AGID00350	2018	3793	Set163	CIITA	-0.111875
AGID00434	155	9164	Old	CJUN_pS73	0.15001
AGID00020	157	1522-1/ab32363	Old	CKIT	0.60121
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.41764
AGID00466	726	3127	Old	CMET	-0.029129
AGID00079	727	3129	Old	CMET_pY1235	-0.14299
AGID00167	161	9402	Old	CMYC	0.42286
AGID00292	1656	11130-1-AP	Old	COG3	0.076275
AGID00021	171	sc-20649	Old	COLLAGENVI	1.1263
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.2539347
AGID00269	1571	6434	Set163	Coup-TFII	0.288785
