AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.16128
AGID00111	913	sc-23957	Old	1433EPSILON	0.67146
AGID00101	883	sc-1019	Old	1433ZETA	-0.40065
AGID00001	2	9452	Old	4EBP1	-0.84958
AGID00002	3	9456	Old	4EBP1_pS65	0.95791
AGID00003	6	9459	Old	4EBP1_pT37T46	1.6377
AGID00443	8	9455	Old	4EBP1_pT70	0.25452
AGID00120	985	4937	Old	53BP1	0.92725
AGID00004	13	3661	Old	ACC_pS79	-0.70748
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.67783
AGID00408	2372	3658	Set181	AceCS1	-0.4869418
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.51461
AGID00404	2367	9189	Set181	ACSL1	-0.448419
AGID02144	2450	PA5-27081	Old	ACVRL1	0.15579
AGID00186	1198	ab88574	Old	ADAR1	-0.081836
AGID00146	1084	4691	Old	AKT	0.26247
AGID00028	230	9271	Old	AKT_pS473	-0.34043
AGID00170	1154	2965	Old	AKT_pT308	-0.62656
AGID00316	1800	3063	Set181	Akt2	-0.914932
AGID00347	2009	8599	Set181	Akt2_pS474	-0.2325228
AGID02215	2577	ab195377	Set181	ALKBH5	0.5366393
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.7436297
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.1706063
AGID00006	39	2532	Old	AMPKALPHA	-0.33746
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.7118
AGID00193	1208	610066	Old	ANNEXIN1	-1.7548
AGID00166	1142	610668	Old	ANNEXINVII	0.4203
AGID00371	756	1852-1/ab52615	Old	AR	-0.58463
AGID00194	1217	4432	Old	ARAF	-0.21339
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.19161
AGID00260	1053	sc-32761	Old	ARID1A	0.29544
AGID00264	1560	HPA029318	Old	ASNS	-0.46945
AGID00276	1612	3415	Set181	Atg3	0.2228829
AGID00309	1775	13507	Set181	Atg4B	-0.1340122
AGID00310	1776	12994	Set181	Atg5	-0.4799545
AGID00277	1613	8558	Set181	Atg7	-0.2009159
AGID00242	1363	2873	Old	ATM	-0.73565
AGID02142	2447	13050	Set181	ATM_pS1981	0.3890961
AGID00217	1289	ab14748	Set181	ATP5A	2.321807
AGID02145	2451	PA5-43776	Set181	ATP5H	0.4122832
AGID02150	2456	13934	Set181	ATR	-0.3148731
AGID00315	1795	ab178407	Set181	ATR_pS428	0.2397486
AGID00268	1569	ab97508	Set181	ATRX	0.4082793
AGID00391	2332	14475	Set181	Aurora-A	-0.4776306
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.2258232
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.3073568
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	-0.1209245
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.4189207
AGID00301	1725	14058	Set181	B7-H3	-0.6855177
AGID00302	1726	14572	Set181	B7-H4	-0.3769522
AGID00008	63	9291	Old	BAD_pS112	0.08618
AGID00009	71	1542-1/ab32371	Old	BAK	9.6536
AGID00192	1207	sc-28383	Old	BAP1C4	-0.16916
AGID00010	73	2772	Old	BAX	-1.3549
AGID00433	80	M0887	Old	BCL2	0.78447
AGID00219	1299	PAB8528	Old	BCL2A1	-0.13178
AGID00012	84	1018-1	Old	BCLXL	-0.57363
AGID00377	87	sc-10086	Old	BECLIN	0.15515
AGID00011	75	9562	Old	BETACATENIN	-0.99102
AGID00013	88	1008-1/ab32060	Old	BID	-0.055125
AGID00180	90	1036-1/ab32158	Old	BIM	-0.19521
AGID00221	1311	610978	Set181	BiP-GRP78	0.1678875
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	0.03040907
AGID00355	92	1647/ab33899	Old	BRAF	0.71713
AGID00014	94	2696	Old	BRAF_pS445	0.79666
AGID00445	761	9012	Old	BRCA2	-0.12092
AGID00266	1567	13440	Old	BRD4	-0.43204
AGID00168	1146	2865	Set181	c-Abl_pY412	-0.04253539
AGID00278	1615	3130	Set181	c-IAP2	-0.02063236
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.060472
AGID00429	2407	2679	Set181	Calnexin	0.1985893
AGID00176	1165	9496	Set181	Caspase-8-cleaved	-0.04717541
AGID00623	111	9665	Old	CASPASE3	0.25925
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.92678
AGID00118	951	9746	Old	CASPASE8	-0.1787
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.2076
AGID00358	2100	ab76000	Set181	CD134	-0.2370084
AGID00303	1737	826701	Set181	CD171	5.29091
AGID00410	125	1632-1/ab78237	Old	CD20	0.31444
AGID00220	1308	ab28340	Old	CD26	0.25311
AGID00191	1206	610467	Set181	CD29	0.1931095
AGID00017	127	M0823	Old	CD31	0.18276
AGID00369	2174	ab108403	Set181	CD38	-0.1123737
AGID00359	2104	ab133616	Set181	CD4	-1.707021
AGID00411	1398	3570	Set181	CD44	-0.08481407
AGID00237	1352	M070101-2	Set181	CD45	-0.3812214
AGID00115	937	611016	Old	CD49B	-0.090991
AGID02171	2482	91882	Set181	CD86	0.007707006
AGID00329	1873	4688	Set181	cdc25C	-0.3487069
AGID00227	1332	4651	Set181	Cdc42	-0.1047645
AGID00422	2396	3387	Set181	Cdc6	-0.3050768
AGID00501	1007	9112	Old	CDK1	0.14484
AGID00293	1658	ab32384	Set181	CDK1_pT14	-0.8181901
AGID00314	1783	4539	Old	CDK1_pY15	-0.34417
AGID00423	2397	8064	Set181	CDT1	-0.3328334
AGID02101	2348	15102	Set181	cGAS	0.3167834
AGID00447	2410	13460	Set181	CHD1L	0.7672659
AGID00189	1203	2360	Old	CHK1	-0.71869
AGID00234	1348	ab79758	Old	CHK1_pS296	0.24836
AGID00107	903	2348	Old	CHK1_pS345	0.25255
AGID00018	146	3440	Old	CHK2	-0.64328
AGID00019	147	2197	Old	CHK2_pT68	0.62596
AGID00527	2078	4952	Old	CIAP	-0.085802
AGID00350	2018	3793	Set181	CIITA	-0.05974104
AGID00434	155	9164	Old	CJUN_pS73	0.50801
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.058101
