AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.27024
AGID00111	913	sc-23957	Old	1433EPSILON	0.45581
AGID00101	883	sc-1019	Old	1433ZETA	-0.50843
AGID00001	2	9452	Old	4EBP1	-1.0662
AGID00002	3	9456	Old	4EBP1_pS65	0.20974
AGID00003	6	9459	Old	4EBP1_pT37T46	1.4762
AGID00443	8	9455	Old	4EBP1_pT70	-0.0032951
AGID00120	985	4937	Old	53BP1	0.40974
AGID00004	13	3661	Old	ACC_pS79	-0.61415
AGID00005	14	1768-1/ab45174	Old	ACC1	0.078084
AGID00408	2372	3658	Set181	AceCS1	-0.1844118
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.2803
AGID00404	2367	9189	Set181	ACSL1	0.3039873
AGID02144	2450	PA5-27081	Old	ACVRL1	0.30037
AGID00186	1198	ab88574	Old	ADAR1	0.13148
AGID00146	1084	4691	Old	AKT	0.2766
AGID00028	230	9271	Old	AKT_pS473	0.59155
AGID00170	1154	2965	Old	AKT_pT308	0.33757
AGID00316	1800	3063	Set181	Akt2	-0.7202614
AGID00347	2009	8599	Set181	Akt2_pS474	0.4977804
AGID02215	2577	ab195377	Set181	ALKBH5	-1.549244
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.5424359
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.1279271
AGID00006	39	2532	Old	AMPKALPHA	-0.23866
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.40601
AGID00193	1208	610066	Old	ANNEXIN1	-1.5748
AGID00166	1142	610668	Old	ANNEXINVII	0.46807
AGID00371	756	1852-1/ab52615	Old	AR	-0.46127
AGID00194	1217	4432	Old	ARAF	-0.14275
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.17149
AGID00260	1053	sc-32761	Old	ARID1A	0.045685
AGID00264	1560	HPA029318	Old	ASNS	1.5608
AGID00276	1612	3415	Set181	Atg3	0.02707033
AGID00309	1775	13507	Set181	Atg4B	-0.115245
AGID00310	1776	12994	Set181	Atg5	-0.5609285
AGID00277	1613	8558	Set181	Atg7	-0.3040693
AGID00242	1363	2873	Old	ATM	-0.16419
AGID02142	2447	13050	Set181	ATM_pS1981	1.010069
AGID00217	1289	ab14748	Set181	ATP5A	2.08209
AGID02145	2451	PA5-43776	Set181	ATP5H	0.375542
AGID02150	2456	13934	Set181	ATR	-0.2676242
AGID00315	1795	ab178407	Set181	ATR_pS428	0.005073147
AGID00268	1569	ab97508	Set181	ATRX	-0.02550983
AGID00391	2332	14475	Set181	Aurora-A	-0.3040025
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.2555068
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.005237933
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	-0.1597567
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.2254448
AGID00301	1725	14058	Set181	B7-H3	-0.6583399
AGID00302	1726	14572	Set181	B7-H4	-0.3054651
AGID00008	63	9291	Old	BAD_pS112	-0.59131
AGID00009	71	1542-1/ab32371	Old	BAK	9.0887
AGID00192	1207	sc-28383	Old	BAP1C4	-0.48079
AGID00010	73	2772	Old	BAX	-0.92068
AGID00433	80	M0887	Old	BCL2	-0.76506
AGID00219	1299	PAB8528	Old	BCL2A1	0.15373
AGID00012	84	1018-1	Old	BCLXL	-0.47058
AGID00377	87	sc-10086	Old	BECLIN	0.24477
AGID00011	75	9562	Old	BETACATENIN	-1.1317
AGID00013	88	1008-1/ab32060	Old	BID	-0.11609
AGID00180	90	1036-1/ab32158	Old	BIM	-0.77678
AGID00221	1311	610978	Set181	BiP-GRP78	0.2735966
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.07177875
AGID00355	92	1647/ab33899	Old	BRAF	0.60449
AGID00014	94	2696	Old	BRAF_pS445	0.38281
AGID00445	761	9012	Old	BRCA2	-0.54945
AGID00266	1567	13440	Old	BRD4	-0.68457
AGID00168	1146	2865	Set181	c-Abl_pY412	0.1363906
AGID00278	1615	3130	Set181	c-IAP2	0.1031795
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.12072
AGID00429	2407	2679	Set181	Calnexin	1.040012
AGID00176	1165	9496	Set181	Caspase-8-cleaved	0.174487
AGID00623	111	9665	Old	CASPASE3	0.15149
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.70202
AGID00118	951	9746	Old	CASPASE8	0.62539
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.3157
AGID00358	2100	ab76000	Set181	CD134	0.04371819
AGID00303	1737	826701	Set181	CD171	5.022518
AGID00410	125	1632-1/ab78237	Old	CD20	0.50154
AGID00220	1308	ab28340	Old	CD26	0.52473
AGID00191	1206	610467	Set181	CD29	0.1185152
AGID00017	127	M0823	Old	CD31	-0.23926
AGID00369	2174	ab108403	Set181	CD38	-0.1219465
AGID00359	2104	ab133616	Set181	CD4	-1.427538
