AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.13934
AGID00111	913	sc-23957	Old	1433EPSILON	0.60223
AGID00101	883	sc-1019	Old	1433ZETA	0.1437
AGID00001	2	9452	Old	4EBP1	-0.81321
AGID00002	3	9456	Old	4EBP1_pS65	-0.39448
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.87379
AGID00443	8	9455	Old	4EBP1_pT70	-0.12918
AGID00120	985	4937	Old	53BP1	-0.88946
AGID00004	13	3661	Old	ACC_pS79	0.36324
AGID00005	14	1768-1/ab45174	Old	ACC1	0.46407
AGID00408	2372	3658	Set172	AceCS1	0.9777793
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.37969
AGID00404	2367	9189	Set172	ACSL1	0.2650565
AGID02144	2450	PA5-27081	Old	ACVRL1	0.31577
AGID00186	1198	ab88574	Old	ADAR1	-0.36654
AGID00146	1084	4691	Old	AKT	-0.52289
AGID00028	230	9271	Old	AKT_pS473	-0.15312
AGID00170	1154	2965	Old	AKT_pT308	-0.14076
AGID00316	1800	3063	Set172	Akt2	0.3743024
AGID00347	2009	8599	Set172	Akt2_pS474	0.9520463
AGID02215	2577	ab195377	Set172	ALKBH5	0.3106161
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.0488098
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.06358686
AGID00006	39	2532	Old	AMPKALPHA	0.76433
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.17281
AGID00193	1208	610066	Old	ANNEXIN1	1.0605
AGID00166	1142	610668	Old	ANNEXINVII	0.52332
AGID00371	756	1852-1/ab52615	Old	AR	0.6317
AGID00194	1217	4432	Old	ARAF	0.1757
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.9328
AGID00260	1053	sc-32761	Old	ARID1A	-0.14878
AGID00264	1560	HPA029318	Old	ASNS	-0.19848
AGID00276	1612	3415	Set172	Atg3	0.06589774
AGID00309	1775	13507	Set172	Atg4B	0.02591862
AGID00310	1776	12994	Set172	Atg5	0.3611358
AGID00277	1613	8558	Set172	Atg7	0.7424108
AGID00242	1363	2873	Old	ATM	-0.94697
