AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.04792
AGID00111	913	sc-23957	Old	1433EPSILON	0.69191
AGID00101	883	sc-1019	Old	1433ZETA	-0.28599
AGID00001	2	9452	Old	4EBP1	-0.62943
AGID00002	3	9456	Old	4EBP1_pS65	-0.25848
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.53004
AGID00443	8	9455	Old	4EBP1_pT70	-0.42363
AGID00120	985	4937	Old	53BP1	-0.72729
AGID00004	13	3661	Old	ACC_pS79	0.33965
AGID00005	14	1768-1/ab45174	Old	ACC1	0.48936
AGID00408	2372	3658	Set172	AceCS1	2.047955
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.43791
AGID00404	2367	9189	Set172	ACSL1	0.1183725
AGID02144	2450	PA5-27081	Old	ACVRL1	0.23298
AGID00186	1198	ab88574	Old	ADAR1	-0.22172
AGID00146	1084	4691	Old	AKT	0.12796
AGID00028	230	9271	Old	AKT_pS473	0.23007
AGID00170	1154	2965	Old	AKT_pT308	0.31856
AGID00316	1800	3063	Set172	Akt2	0.5823834
AGID00347	2009	8599	Set172	Akt2_pS474	0.09836594
AGID02215	2577	ab195377	Set172	ALKBH5	0.5622469
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	0.05200279
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.07345531
AGID00006	39	2532	Old	AMPKALPHA	0.76946
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.35838
AGID00193	1208	610066	Old	ANNEXIN1	1.741
AGID00166	1142	610668	Old	ANNEXINVII	0.60748
AGID00371	756	1852-1/ab52615	Old	AR	1.1734
AGID00194	1217	4432	Old	ARAF	0.34836
AGID02191	2507	PA5-39728	Old	ARAF_pS299	1.3238
AGID00260	1053	sc-32761	Old	ARID1A	-0.029113
AGID00264	1560	HPA029318	Old	ASNS	-0.23714
AGID00276	1612	3415	Set172	Atg3	0.1910746
