AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.05923
AGID00111	913	sc-23957	Old	1433EPSILON	0.20199
AGID00101	883	sc-1019	Old	1433ZETA	-0.12887
AGID00001	2	9452	Old	4EBP1	-0.15312
AGID00002	3	9456	Old	4EBP1_pS65	0.17446
AGID00003	6	9459	Old	4EBP1_pT37T46	0.94209
AGID00443	8	9455	Old	4EBP1_pT70	0.12642
AGID00120	985	4937	Old	53BP1	0.39447
AGID00004	13	3661	Old	ACC_pS79	0.26466
AGID00005	14	1768-1/ab45174	Old	ACC1	0.21893
AGID00408	2372	3658	Set179	AceCS1	0.2526788
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.3846
AGID00404	2367	9189	Set179	ACSL1	1.972167
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.16537
AGID00186	1198	ab88574	Old	ADAR1	0.38445
AGID00146	1084	4691	Old	AKT	-0.16527
AGID00028	230	9271	Old	AKT_pS473	-0.39074
AGID00170	1154	2965	Old	AKT_pT308	-0.74827
AGID00316	1800	3063	Set179	Akt2	-0.3619973
AGID00347	2009	8599	Set179	Akt2_pS474	-0.3921667
AGID02215	2577	ab195377	Set179	ALKBH5	0.5895964
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.4970493
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.03287265
AGID00006	39	2532	Old	AMPKALPHA	-0.19062
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.056438
AGID00193	1208	610066	Old	ANNEXIN1	-1.4773
AGID00166	1142	610668	Old	ANNEXINVII	-0.05159
AGID00371	756	1852-1/ab52615	Old	AR	-0.50618
AGID00194	1217	4432	Old	ARAF	0.55145
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.20836
AGID00260	1053	sc-32761	Old	ARID1A	0.18193
AGID00264	1560	HPA029318	Old	ASNS	-0.9565
AGID00276	1612	3415	Set179	Atg3	-0.4383281
AGID00309	1775	13507	Set179	Atg4B	-0.2002717
AGID00310	1776	12994	Set179	Atg5	-0.6586313
AGID00277	1613	8558	Set179	Atg7	-0.03446205
AGID00242	1363	2873	Old	ATM	1.8063
AGID02142	2447	13050	Set179	ATM_pS1981	0.8450397
AGID00217	1289	ab14748	Set179	ATP5A	3.038222
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.2063588
AGID02150	2456	13934	Set179	ATR	-0.3072262
AGID00315	1795	ab178407	Set179	ATR_pS428	0.05722807
AGID00268	1569	ab97508	Set179	ATRX	0.4292162
AGID00391	2332	14475	Set179	Aurora-A	-0.3149521
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.1030755
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.2310277
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.4747823
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.1489183
AGID00301	1725	14058	Set179	B7-H3	-0.6108295
AGID00302	1726	14572	Set179	B7-H4	-0.5019179
AGID00008	63	9291	Old	BAD_pS112	0.19763
AGID00009	71	1542-1/ab32371	Old	BAK	0.51847
AGID00192	1207	sc-28383	Old	BAP1C4	-0.87348
AGID00010	73	2772	Old	BAX	-0.31668
AGID00433	80	M0887	Old	BCL2	1.4798
AGID00219	1299	PAB8528	Old	BCL2A1	-0.33796
AGID00012	84	1018-1	Old	BCLXL	-0.25992
AGID00377	87	sc-10086	Old	BECLIN	-0.071078
AGID00011	75	9562	Old	BETACATENIN	-0.44986
AGID00013	88	1008-1/ab32060	Old	BID	-0.47738
AGID00180	90	1036-1/ab32158	Old	BIM	0.2147
AGID00221	1311	610978	Set179	BiP-GRP78	-0.005492941
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.103356
AGID00355	92	1647/ab33899	Old	BRAF	0.043747
AGID00014	94	2696	Old	BRAF_pS445	0.3622
AGID00445	761	9012	Old	BRCA2	-0.42759
AGID00266	1567	13440	Old	BRD4	0.22656
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.5965014
AGID00278	1615	3130	Set179	c-IAP2	-0.2047113
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.35534
AGID00429	2407	2679	Set179	Calnexin	0.9251673
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.4844129
AGID00623	111	9665	Old	CASPASE3	0.26152
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.33716
AGID00118	951	9746	Old	CASPASE8	-0.15242
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-2.1736
AGID00358	2100	ab76000	Set179	CD134	-0.6929989
AGID00303	1737	826701	Set179	CD171	-0.05916745
AGID00410	125	1632-1/ab78237	Old	CD20	0.095071
AGID00220	1308	ab28340	Old	CD26	-0.17182
AGID00191	1206	610467	Set179	CD29	-0.2386073
AGID00017	127	M0823	Old	CD31	0.062434
AGID00369	2174	ab108403	Set179	CD38	0.1416312
AGID00359	2104	ab133616	Set179	CD4	-0.1890508
AGID00411	1398	3570	Set179	CD44	3.450161
AGID00237	1352	M070101-2	Set179	CD45	0.1628344
AGID00115	937	611016	Old	CD49B	-0.25189
AGID02171	2482	91882	Set179	CD86	-0.2645819
AGID00329	1873	4688	Set179	cdc25C	-0.1703983
AGID00227	1332	4651	Set179	Cdc42	-0.1078201
AGID00422	2396	3387	Set179	Cdc6	-0.3877332
AGID00501	1007	9112	Old	CDK1	-0.29701
AGID00293	1658	ab32384	Set179	CDK1_pT14	-0.794163
AGID00314	1783	4539	Old	CDK1_pY15	0.14828
AGID00423	2397	8064	Set179	CDT1	-0.8866659
AGID02101	2348	15102	Set179	cGAS	-0.1086571
AGID00447	2410	13460	Set179	CHD1L	0.261712
AGID00189	1203	2360	Old	CHK1	-0.58139
AGID00234	1348	ab79758	Old	CHK1_pS296	0.19441
AGID00107	903	2348	Old	CHK1_pS345	0.000309
AGID00018	146	3440	Old	CHK2	-0.2059
AGID00019	147	2197	Old	CHK2_pT68	0.40594
AGID00527	2078	4952	Old	CIAP	0.24305
AGID00350	2018	3793	Set179	CIITA	1.008314
AGID00434	155	9164	Old	CJUN_pS73	0.18121
AGID00020	157	1522-1/ab32363	Old	CKIT	5.3472
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.4976
AGID00466	726	3127	Old	CMET	0.56669
AGID00079	727	3129	Old	CMET_pY1235	0.03053
AGID00167	161	9402	Old	CMYC	-0.29408
AGID00292	1656	11130-1-AP	Old	COG3	0.16016
AGID00021	171	sc-20649	Old	COLLAGENVI	0.097434
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-1.139777
AGID00269	1571	6434	Set179	Coup-TFII	-0.9031111
AGID00150	1116	4850	Set179	Cox-IV	0.3429904
AGID00195	1218	4842	Set179	Cox2	-0.007042603
AGID00188	803	05-739	Old	CRAF	-0.11406
AGID00022	179	9427	Old	CRAF_pS338	-0.056072
AGID00023	181	9197	Set179	Creb	-0.5718993
AGID00393	2334	9198	Set179	CREB_pS133	1.705937
AGID00365	2155	4980	Set179	CSK	0.9516827
AGID00367	2160	9201	Set179	CtIP	-0.6181435
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.2072129
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.93378
