AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.34025
AGID00111	913	sc-23957	Old	1433EPSILON	0.86684
AGID00101	883	sc-1019	Old	1433ZETA	0.0012481
AGID00001	2	9452	Old	4EBP1	-0.32864
AGID00002	3	9456	Old	4EBP1_pS65	1.0871
AGID00003	6	9459	Old	4EBP1_pT37T46	2.254
AGID00443	8	9455	Old	4EBP1_pT70	0.41283
AGID00120	985	4937	Old	53BP1	0.056453
AGID00004	13	3661	Old	ACC_pS79	-1.7425
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.8155
AGID00408	2372	3658	Set181	AceCS1	-0.9693609
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	2.7808
AGID00404	2367	9189	Set181	ACSL1	0.1197026
AGID02144	2450	PA5-27081	Old	ACVRL1	0.18916
AGID00186	1198	ab88574	Old	ADAR1	-0.061027
AGID00146	1084	4691	Old	AKT	0.11603
AGID00028	230	9271	Old	AKT_pS473	-1.376
AGID00170	1154	2965	Old	AKT_pT308	-1.9627
AGID00316	1800	3063	Set181	Akt2	-1.181686
AGID00347	2009	8599	Set181	Akt2_pS474	0.698603
AGID02215	2577	ab195377	Set181	ALKBH5	-0.2055871
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	1.019794
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.2291198
AGID00006	39	2532	Old	AMPKALPHA	-0.15886
AGID00007	40	2535	Old	AMPKALPHA_pT172	-3.099
AGID00193	1208	610066	Old	ANNEXIN1	-1.3557
AGID00166	1142	610668	Old	ANNEXINVII	0.7762
AGID00371	756	1852-1/ab52615	Old	AR	1.2347
AGID00194	1217	4432	Old	ARAF	-0.26517
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.31036
AGID00260	1053	sc-32761	Old	ARID1A	-0.047597
AGID00264	1560	HPA029318	Old	ASNS	-0.346
AGID00276	1612	3415	Set181	Atg3	0.003088519
AGID00309	1775	13507	Set181	Atg4B	-0.2318651
AGID00310	1776	12994	Set181	Atg5	-0.3031129
AGID00277	1613	8558	Set181	Atg7	-0.6200643
AGID00242	1363	2873	Old	ATM	-0.26298
AGID02142	2447	13050	Set181	ATM_pS1981	1.468969
AGID00217	1289	ab14748	Set181	ATP5A	0.7196526
AGID02145	2451	PA5-43776	Set181	ATP5H	0.4169706
AGID02150	2456	13934	Set181	ATR	-0.2793365
AGID00315	1795	ab178407	Set181	ATR_pS428	0.3168913
AGID00268	1569	ab97508	Set181	ATRX	-0.6006094
AGID00391	2332	14475	Set181	Aurora-A	-0.1650325
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.1198671
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.06086268
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	-0.191604
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.1110778
AGID00301	1725	14058	Set181	B7-H3	-1.620616
AGID00302	1726	14572	Set181	B7-H4	-0.1928497
AGID00008	63	9291	Old	BAD_pS112	-0.5968
AGID00009	71	1542-1/ab32371	Old	BAK	11.661
AGID00192	1207	sc-28383	Old	BAP1C4	-0.29937
AGID00010	73	2772	Old	BAX	-0.6651
AGID00433	80	M0887	Old	BCL2	0.24366
AGID00219	1299	PAB8528	Old	BCL2A1	0.21739
AGID00012	84	1018-1	Old	BCLXL	-0.48672
AGID00377	87	sc-10086	Old	BECLIN	0.12535
AGID00011	75	9562	Old	BETACATENIN	-1.5387
AGID00013	88	1008-1/ab32060	Old	BID	0.21897
AGID00180	90	1036-1/ab32158	Old	BIM	-0.31386
AGID00221	1311	610978	Set181	BiP-GRP78	-0.007835499
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	0.09584999
AGID00355	92	1647/ab33899	Old	BRAF	1.2672
AGID00014	94	2696	Old	BRAF_pS445	-0.11286
AGID00445	761	9012	Old	BRCA2	-1.0578
AGID00266	1567	13440	Old	BRD4	-0.96111
