AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.14004
AGID00111	913	sc-23957	Old	1433EPSILON	0.95478
AGID00101	883	sc-1019	Old	1433ZETA	-0.25743
AGID00001	2	9452	Old	4EBP1	-1.0834
AGID00002	3	9456	Old	4EBP1_pS65	0.45312
AGID00003	6	9459	Old	4EBP1_pT37T46	1.3817
AGID00443	8	9455	Old	4EBP1_pT70	0.070364
AGID00120	985	4937	Old	53BP1	0.81431
AGID00004	13	3661	Old	ACC_pS79	-0.83162
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.12151
AGID00408	2372	3658	Set181	AceCS1	-0.5263832
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.2984
AGID00404	2367	9189	Set181	ACSL1	-0.04901194
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.10402
AGID00186	1198	ab88574	Old	ADAR1	0.75831
AGID00146	1084	4691	Old	AKT	0.54967
AGID00028	230	9271	Old	AKT_pS473	0.49765
AGID00170	1154	2965	Old	AKT_pT308	-0.21815
AGID00316	1800	3063	Set181	Akt2	-0.4553047
AGID00347	2009	8599	Set181	Akt2_pS474	-0.334606
AGID02215	2577	ab195377	Set181	ALKBH5	-0.2667516
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.6254759
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.2607841
AGID00006	39	2532	Old	AMPKALPHA	-0.042605
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.30091
AGID00193	1208	610066	Old	ANNEXIN1	-1.7567
AGID00166	1142	610668	Old	ANNEXINVII	0.42628
AGID00371	756	1852-1/ab52615	Old	AR	-0.45575
AGID00194	1217	4432	Old	ARAF	0.19496
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.20165
AGID00260	1053	sc-32761	Old	ARID1A	0.17765
AGID00264	1560	HPA029318	Old	ASNS	0.15185
AGID00276	1612	3415	Set181	Atg3	0.4646787
AGID00309	1775	13507	Set181	Atg4B	0.0220832
AGID00310	1776	12994	Set181	Atg5	-0.04253138
AGID00277	1613	8558	Set181	Atg7	0.1130078
AGID00242	1363	2873	Old	ATM	-0.31068
AGID02142	2447	13050	Set181	ATM_pS1981	0.6654869
AGID00217	1289	ab14748	Set181	ATP5A	0.7337163
AGID02145	2451	PA5-43776	Set181	ATP5H	0.09206012
AGID02150	2456	13934	Set181	ATR	-0.1643865
AGID00315	1795	ab178407	Set181	ATR_pS428	0.4244797
AGID00268	1569	ab97508	Set181	ATRX	0.4239072
AGID00391	2332	14475	Set181	Aurora-A	-0.226015
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.159766
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.5642225
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	-0.1655477
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	-0.04920702
AGID00301	1725	14058	Set181	B7-H3	-1.117315
AGID00302	1726	14572	Set181	B7-H4	-0.3201876
AGID00008	63	9291	Old	BAD_pS112	-0.34311
AGID00009	71	1542-1/ab32371	Old	BAK	10.029
AGID00192	1207	sc-28383	Old	BAP1C4	-0.35165
AGID00010	73	2772	Old	BAX	-1.1952
AGID00433	80	M0887	Old	BCL2	-0.34748
AGID00219	1299	PAB8528	Old	BCL2A1	-0.068006
AGID00012	84	1018-1	Old	BCLXL	-0.56521
AGID00377	87	sc-10086	Old	BECLIN	0.0049477
AGID00011	75	9562	Old	BETACATENIN	-1.398
AGID00013	88	1008-1/ab32060	Old	BID	-0.17133
AGID00180	90	1036-1/ab32158	Old	BIM	-0.66465
AGID00221	1311	610978	Set181	BiP-GRP78	0.5215779
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.04770425
AGID00355	92	1647/ab33899	Old	BRAF	0.92554
AGID00014	94	2696	Old	BRAF_pS445	0.63851
AGID00445	761	9012	Old	BRCA2	-0.54643
AGID00266	1567	13440	Old	BRD4	-0.47737
AGID00168	1146	2865	Set181	c-Abl_pY412	0.09462371
AGID00278	1615	3130	Set181	c-IAP2	0.09244344
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.086921
AGID00429	2407	2679	Set181	Calnexin	0.972871
AGID00176	1165	9496	Set181	Caspase-8-cleaved	-0.08910727
AGID00623	111	9665	Old	CASPASE3	0.27916
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0928
AGID00118	951	9746	Old	CASPASE8	0.91833
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.24852
AGID00358	2100	ab76000	Set181	CD134	-0.05800322
AGID00303	1737	826701	Set181	CD171	7.193089
AGID00410	125	1632-1/ab78237	Old	CD20	0.26849
AGID00220	1308	ab28340	Old	CD26	0.10744
AGID00191	1206	610467	Set181	CD29	0.1288265
AGID00017	127	M0823	Old	CD31	0.10415
AGID00369	2174	ab108403	Set181	CD38	-0.1104739
AGID00359	2104	ab133616	Set181	CD4	-1.79622
AGID00411	1398	3570	Set181	CD44	-0.5096603
AGID00237	1352	M070101-2	Set181	CD45	-0.1527862
AGID00115	937	611016	Old	CD49B	-0.116
AGID02171	2482	91882	Set181	CD86	0.5326637
AGID00329	1873	4688	Set181	cdc25C	0.02136746
AGID00227	1332	4651	Set181	Cdc42	0.007275211
AGID00422	2396	3387	Set181	Cdc6	0.007560389
AGID00501	1007	9112	Old	CDK1	-0.077773
AGID00293	1658	ab32384	Set181	CDK1_pT14	-0.7612944
AGID00314	1783	4539	Old	CDK1_pY15	-0.25426
AGID00423	2397	8064	Set181	CDT1	-0.4171105
AGID02101	2348	15102	Set181	cGAS	0.2905108
AGID00447	2410	13460	Set181	CHD1L	1.036244
AGID00189	1203	2360	Old	CHK1	-0.89236
AGID00234	1348	ab79758	Old	CHK1_pS296	0.30143
AGID00107	903	2348	Old	CHK1_pS345	-0.12746
AGID00018	146	3440	Old	CHK2	-1.0444
AGID00019	147	2197	Old	CHK2_pT68	0.62551
AGID00527	2078	4952	Old	CIAP	0.1776
AGID00350	2018	3793	Set181	CIITA	-0.1213153
AGID00434	155	9164	Old	CJUN_pS73	0.092293
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.20216
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.1214
AGID00466	726	3127	Old	CMET	-0.46403
AGID00079	727	3129	Old	CMET_pY1235	0.24005
AGID00167	161	9402	Old	CMYC	-0.42142
AGID00292	1656	11130-1-AP	Old	COG3	0.53133
AGID00021	171	sc-20649	Old	COLLAGENVI	0.45262
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set181	Connexin-43	-2.310015
AGID00269	1571	6434	Set181	Coup-TFII	-0.6756461
AGID00150	1116	4850	Set181	Cox-IV	0.5646705
AGID00195	1218	4842	Set181	Cox2	0.05629509
AGID00188	803	05-739	Old	CRAF	-0.21872
AGID00022	179	9427	Old	CRAF_pS338	0.8
AGID00023	181	9197	Set181	Creb	-0.386081
AGID00393	2334	9198	Set181	CREB_pS133	-0.5691205
AGID00365	2155	4980	Set181	CSK	-0.1034709
