AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.043722
AGID00111	913	sc-23957	Old	1433EPSILON	-0.081047
AGID00101	883	sc-1019	Old	1433ZETA	0.070026
AGID00001	2	9452	Old	4EBP1	-0.15022
AGID00002	3	9456	Old	4EBP1_pS65	0.053875
AGID00003	6	9459	Old	4EBP1_pT37T46	0.51686
AGID00443	8	9455	Old	4EBP1_pT70	0.016721
AGID00120	985	4937	Old	53BP1	0.17152
AGID00004	13	3661	Old	ACC_pS79	-0.68221
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.64964
AGID00408	2372	3658	Set181	AceCS1	-1.040918
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.0898
AGID00404	2367	9189	Set181	ACSL1	-0.7859674
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.039857
AGID00186	1198	ab88574	Old	ADAR1	0.28219
AGID00146	1084	4691	Old	AKT	0.021846
AGID00028	230	9271	Old	AKT_pS473	0.67465
AGID00170	1154	2965	Old	AKT_pT308	0.17576
AGID00316	1800	3063	Set181	Akt2	0.544221
AGID00347	2009	8599	Set181	Akt2_pS474	2.196036
AGID02215	2577	ab195377	Set181	ALKBH5	1.114907
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	-0.03558659
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.2426684
AGID00006	39	2532	Old	AMPKALPHA	-0.2142
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.093043
AGID00193	1208	610066	Old	ANNEXIN1	-1.4567
AGID00166	1142	610668	Old	ANNEXINVII	-0.046901
AGID00371	756	1852-1/ab52615	Old	AR	-0.10609
AGID00194	1217	4432	Old	ARAF	0.53053
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.040128
AGID00260	1053	sc-32761	Old	ARID1A	0.62393
AGID00264	1560	HPA029318	Old	ASNS	-0.45771
AGID00276	1612	3415	Set181	Atg3	0.2702875
AGID00309	1775	13507	Set181	Atg4B	-0.4758156
AGID00310	1776	12994	Set181	Atg5	-0.2092289
AGID00277	1613	8558	Set181	Atg7	-0.3305913
AGID00242	1363	2873	Old	ATM	0.9606
AGID02142	2447	13050	Set181	ATM_pS1981	2.223107
AGID00217	1289	ab14748	Set181	ATP5A	0.7627424
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.5227577
AGID02150	2456	13934	Set181	ATR	-0.2500022
AGID00315	1795	ab178407	Set181	ATR_pS428	-0.08108633
AGID00268	1569	ab97508	Set181	ATRX	0.8653649
AGID00391	2332	14475	Set181	Aurora-A	-0.04613598
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.09899097
AGID02195	2512	MA5-27890	Set181	Aurora-B	1.553075
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.4161728
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.1315056
AGID00301	1725	14058	Set181	B7-H3	-1.687965
AGID00302	1726	14572	Set181	B7-H4	-0.2216297
AGID00008	63	9291	Old	BAD_pS112	0.084977
AGID00009	71	1542-1/ab32371	Old	BAK	0.096321
AGID00192	1207	sc-28383	Old	BAP1C4	0.16647
AGID00010	73	2772	Old	BAX	-0.43893
AGID00433	80	M0887	Old	BCL2	0.27012
AGID00219	1299	PAB8528	Old	BCL2A1	0.080387
AGID00012	84	1018-1	Old	BCLXL	-0.3399
AGID00377	87	sc-10086	Old	BECLIN	-0.0050594
AGID00011	75	9562	Old	BETACATENIN	-1.1253
AGID00013	88	1008-1/ab32060	Old	BID	-0.46619
AGID00180	90	1036-1/ab32158	Old	BIM	0.19283
AGID00221	1311	610978	Set181	BiP-GRP78	-0.004014447
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.1278985
AGID00355	92	1647/ab33899	Old	BRAF	-0.037585
AGID00014	94	2696	Old	BRAF_pS445	0.37537
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	1.1563
AGID00168	1146	2865	Set181	c-Abl_pY412	0.09047933
AGID00278	1615	3130	Set181	c-IAP2	0.5688996
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.14118
AGID00429	2407	2679	Set181	Calnexin	-0.9229415
AGID00176	1165	9496	Set181	Caspase-8-cleaved	-0.2634683
AGID00623	111	9665	Old	CASPASE3	0.39416
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.95022
AGID00118	951	9746	Old	CASPASE8	-0.39068
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.11285
AGID00358	2100	ab76000	Set181	CD134	0.2760308
AGID00303	1737	826701	Set181	CD171	-0.9733526
AGID00410	125	1632-1/ab78237	Old	CD20	0.10573
AGID00220	1308	ab28340	Old	CD26	-0.14015
AGID00191	1206	610467	Set181	CD29	-0.2224719
AGID00017	127	M0823	Old	CD31	-0.1186
AGID00369	2174	ab108403	Set181	CD38	0.6013981
AGID00359	2104	ab133616	Set181	CD4	3.952129
AGID00411	1398	3570	Set181	CD44	-0.8202963
AGID00237	1352	M070101-2	Set181	CD45	2.637863
AGID00115	937	611016	Old	CD49B	0.38017
AGID02171	2482	91882	Set181	CD86	0.5137365
AGID00329	1873	4688	Set181	cdc25C	0.7495069
AGID00227	1332	4651	Set181	Cdc42	0.6055266
AGID00422	2396	3387	Set181	Cdc6	-0.2933362
AGID00501	1007	9112	Old	CDK1	-0.10756
AGID00293	1658	ab32384	Set181	CDK1_pT14	0.7855114
AGID00314	1783	4539	Old	CDK1_pY15	0.90365
AGID00423	2397	8064	Set181	CDT1	1.503422
AGID02101	2348	15102	Set181	cGAS	-0.02306704
AGID00447	2410	13460	Set181	CHD1L	0.987138
AGID00189	1203	2360	Old	CHK1	0.072159
AGID00234	1348	ab79758	Old	CHK1_pS296	0.72996
AGID00107	903	2348	Old	CHK1_pS345	0.2628
AGID00018	146	3440	Old	CHK2	-0.24521
AGID00019	147	2197	Old	CHK2_pT68	0.31544
AGID00527	2078	4952	Old	CIAP	0.18202
AGID00350	2018	3793	Set181	CIITA	-0.07064565
AGID00434	155	9164	Old	CJUN_pS73	0.16651
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.2863
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.1297
AGID00466	726	3127	Old	CMET	-0.25181
AGID00079	727	3129	Old	CMET_pY1235	0.11879
AGID00167	161	9402	Old	CMYC	-0.6035
AGID00292	1656	11130-1-AP	Old	COG3	-0.17819
AGID00021	171	sc-20649	Old	COLLAGENVI	-1.1278
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set181	Connexin-43	-1.766026
AGID00269	1571	6434	Set181	Coup-TFII	0.1125004
AGID00150	1116	4850	Set181	Cox-IV	-0.436678
AGID00195	1218	4842	Set181	Cox2	0.03931786
AGID00188	803	05-739	Old	CRAF	0.38808
AGID00022	179	9427	Old	CRAF_pS338	-0.00027673
AGID00023	181	9197	Set181	Creb	1.961254
AGID00393	2334	9198	Set181	CREB_pS133	1.681109
AGID00365	2155	4980	Set181	CSK	0.822857
AGID00367	2160	9201	Set181	CtIP	0.9177548
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set181	Cyclin-D3	0.759017
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.67613
AGID00382	194	sc-718	Old	CYCLIND1	-0.14674
AGID00437	199	sc-25303	Old	CYCLINE1	-0.76223
AGID00449	202	1142-1	Old	CYCLINE2	0.4868
AGID00209	1257	ab110324	Set181	Cyclophilin-F	-0.4554478
AGID00247	1379	ab48389	Set181	D-a-Tubulin	-0.3682075
AGID00308	1770	GTX10524	Set181	DAPK1_pS308	0.4265635
AGID00304	1744	ab51601	Set181	DAPK2	-0.3915845
AGID00343	1980	6998	Set181	DDB-1	0.06717039
AGID00427	2402	5583	Set181	DDR1	-0.4975712
AGID00428	2403	SAB4504671	Set181	DDR1_pY513	0.1269756
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.29672
AGID00104	891	ab76008	Old	DJ1	-0.30593
AGID02146	2452	4658	Set181	DM-Histone-H3	1.188474
AGID00386	1397	ab32521	Set181	DM-K9-Histone-H3	-0.06061948
AGID00352	2030	14649	Set181	DNA-Ligase-IV	0.5585587
AGID00407	2371	13609	Set181	DNA_POLG	0.1622153
AGID00399	2344	5032	Set181	DNMT1	1.667765
AGID00409	2373	5391	Set181	DRP1	0.1021082
AGID00253	1406	5149	Old	DUSP4	-0.45289
AGID00334	1936	ab76310	Set181	DUSP6	0.0785865
AGID00116	940	3218	Old	DVL3	-0.71322
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.53303
AGID00135	1060	2332	Old	EEF2	-0.88467
AGID00136	1061	3692	Old	EEF2K	-0.0018772
AGID00152	1120	2232	Old	EGFR	0.28465
AGID00450	217	2234	Old	EGFR_pY1068	0.073544
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.16722
AGID00078	722	9742	Old	EIF4E	-0.18847
AGID00328	1871	ab76256	Set181	eIF4E_pS209	-0.5647588
AGID00154	1124	2498	Old	EIF4G	0.038889
AGID00027	228	9181	Set181	Elk1_pS383	0.6859935
AGID00235	1350	M061329-2	Set181	EMA	-4.050198
AGID00394	2337	3810	Set181	Enolase-1	-0.1127756
AGID00395	2338	8171	Set181	Enolase-2	-0.691131
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set181	EphA2	0.05642434
AGID00552	2422	6347	Set181	EphA2_pS897	-0.2047747
AGID00553	2423	12677	Set181	EphA2_pY588	0.1345225
AGID00075	693	556347	Old	EPPK1	-1.1529
AGID00335	238	RM-9101	Old	ERALPHA	-1.5419
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	0.033187
AGID00240	247	MS-671	Old	ERCC1	-0.59907
AGID00239	1355	11331-1-AP	Old	ERCC5	0.64829
AGID00484	249	sc-154	Old	ERK2	-0.42147
AGID00372	2193	3552	Set181	Erk5	-0.4751341
AGID00405	2369	13826	Set181	ERRalpha	0.04857574
AGID00187	1200	A303-501A	Old	ETS1	0.87811
AGID00511	2492	2593	Set181	EVI1	-0.3574831
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set181	FAK	-1.487393
AGID02151	2457	8556	Set181	FAK_pY397	-0.05624057
AGID00171	1156	3180	Old	FASN	-1.1139
AGID00356	2085	500-P18/10775-082	Set181	FGF-basic	-0.2896323
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.97057
AGID00339	1959	4403	Set181	FN14	0.2611821
AGID02152	2458	20459	Old	FOXM1	0.55429
AGID00378	269	9467	Old	FOXO3A	0.14391
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.10626
AGID02167	2475	PA5-64616	Set181	FRS2-alpha_pY196	-0.1533582
AGID02213	2575	ab124892	Set181	FTO	0.6791711
AGID02141	2446	12263	Old	G6PD	-0.23986
AGID00117	943	3239	Old	GAB2	0.75719
AGID00412	274	AM4300	Old	GAPDH	-1.154
AGID00086	764	558686	Old	GATA3	1.3898
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set181	GCLC	-0.1690362
AGID00305	1745	ab124827	Set181	GCLM	-0.6137509
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set181	Gli1	0.0459728
AGID00263	1520	ab69838	Set181	Gli3	0.07526924
AGID00548	2530	3660	Set181	Glucocorticoid-Receptor	1.713503
AGID00387	1617	12793	Set181	Glutamate-D1-2	-1.139321
AGID00262	1491	ab156876	Set181	Glutaminase	-0.1333174
AGID00319	1807	4275	Set181	Granzyme-B	-1.058092
AGID00368	2169	ab183737	Set181	GRB7	-0.2808625
AGID00396	2339	3593	Set181	Grp75	-1.042281
AGID00174	1163	9315	Set181	GSK-3B	0.1442165
AGID00502	1082	9336	Old	GSK3_pS9	0.77961
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.023065
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	1.16
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set181	H2AX_pS139	0.1549707
AGID00363	1409	MA1-2022	Set181	H2AX_pS140	0.005205529
AGID00131	1038	MS-325-P1	Old	HER2	-1.276
AGID00142	299	06-229	Old	HER2_pY1248	0.15498
AGID00110	911	sc-285	Old	HER3	-0.81346
AGID00080	728	4791	Old	HER3_pY1289	0.44578
AGID00103	890	2573	Old	HEREGULIN	0.178
AGID00271	1582	11988	Set181	HES1	-0.7313425
AGID00397	2340	2024	Set181	Hexokinase-I	-0.4572068
AGID00442	1023	2867	Set181	Hexokinase-II	-0.8072813
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set181	Histone-H3	1.563669
AGID00398	2341	3377	Set181	Histone-H3_pS10	-0.03461682
AGID00332	1901	ab128959	Set181	HLA-DQA1	-1.541193
AGID00333	1902	14832-1-AP	Set181	HMHA1	5.115908
AGID00035	321	2402	Set181	HSP27	-0.5673651
AGID00036	323	2401	Set181	HSP27_pS82	1.379151
AGID00320	1808	12165	Set181	HSP60	-0.09076592
AGID00037	325	4872	Old	HSP70	-0.88959
AGID00366	2158	86630	Set181	IDO	0.7760843
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.21022
AGID00038	335	3922	Old	IGFBP2	-0.091166
AGID00090	793	611504	Set181	IGFBP3	0.3393925
AGID00039	336	3027	Set181	IGFRb	-0.5043021
AGID00336	1949	12153	Set181	IL-6	0.6627274
AGID02221	2583	57145	Set181	IMP3	-0.03956592
AGID02153	2459	14543	Old	INPP4B	0.41889
AGID00272	1586	3025	Set181	IR-b	-1.156734
AGID00519	2519	4302	Set181	IRF-3	0.05216982
AGID00520	2520	4947	Set181	IRF-3_pS396	0.1999344
AGID00223	1316	sc-497	Old	IRF1	0.025651
AGID00092	802	06-248	Old	IRS1	0.53489
AGID00040	371	4502	Set181	IRS2	-0.5420784
AGID00250	1394	sc-13157	Old	JAB1	-0.096354
AGID00256	1413	ab109536	Set181	Jagged1	-0.4431324
AGID00177	1166	3230	Old	JAK2	0.44054
AGID00758	377	4671	Old	JNK_pT183Y185	-0.21854
AGID02136	2439	PA5-28262	Old	JNK2	-0.077259
AGID00307	1757	ab10484	Set181	KAP1	0.3682959
AGID00528	904	2180	Old	KU80	0.30005
AGID00375	2237	HPA028732	Set181	LAD1	-0.3340108
AGID00290	1643	IHC-00439	Set181	Lasu1	0.2383495
AGID00279	1618	4108	Set181	LC3A-B	-0.2698016
AGID00042	397	2752	Old	LCK	2.1937
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	-0.16087
AGID00244	1367	2568	Set181	LRP6_pS1490	-0.2017037
AGID00439	2424	2796	Set181	Lyn	-1.014025
AGID02154	2460	4370	Old	MAPK_pT202Y204	-0.53352
AGID00198	1222	5453	Set181	Mcl-1	-0.7640415
AGID00288	1633	AB3314P	Set181	MCT4	-1.054323
AGID00175	1164	3521	Set181	MDM2_pS166	0.7482724
AGID00044	417	1235-1/ab32576	Old	MEK1	0.46425
AGID00143	1076	9154	Old	MEK1_pS217S221	-0.037815
AGID00201	1243	9125	Set181	MEK2	-0.01089322
AGID00361	2118	ab51061	Set181	MelanA	0.2395226
AGID00362	2119	ab137078	Set181	Melanoma-gp100	-0.08555566
AGID00337	1951	12711	Set181	MERIT40	0.1391393
AGID00338	1952	12110	Set181	MERIT40_pS29	-0.1029674
AGID02212	2574	ab195352	Set181	METTL3	0.1494055
AGID00225	1323	sc-20121	Set181	MIF	-0.7116064
AGID00137	1062	WH0054206M1	Old	MIG6	-0.06409
AGID00403	2117	ab20663	Set181	MITF	0.5581503
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set181	Mitofusin-1	-0.8660772
AGID00322	1810	11925	Set181	Mitofusin-2	0.2164009
AGID00389	2324	3515	Set181	MLH1	0.6240892
AGID00312	1780	14993	Set181	MLKL	0.06816788
AGID00402	2359	MAB3328	Set181	MMP14	-1.738439
AGID00045	435	4022	Set181	MMP2	-0.8587483
AGID00122	1005	2195	Set181	Mnk1	0.4764204
AGID00331	1899	sc-377312	Set181	MR1	-0.105185
AGID00273	1589	ab103319	Set181	MRAP	0.1150656
AGID00530	440	4847	Old	MRE11	0.021996
AGID00390	905	2850	Old	MSH2	0.95487
AGID00138	1063	22030002	Old	MSH6	1.0953
AGID00299	1675	ab76148	Set181	MSI2	1.340283
AGID00232	1344	ab14705	Set181	MTCO1	0.4012412
AGID00046	444	2983	Old	MTOR	0.11116
AGID00047	446	2971	Old	MTOR_pS2448	0.047317
AGID00204	1247	H00009788-M01A	Set181	MTSS1	0.01295875
AGID00401	1139	21370002	Old	MYH11	-1.9549
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	0.095096
AGID00318	1803	4282	Set181	Myt1	0.2698505
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	-0.32786
AGID00156	1126	3217	Old	NDRG1_pT346	1.4609
AGID02133	2436	PA5-45913	Set181	NDUFB4	-1.056258
AGID00134	1046	22710002	Old	NF2	-0.30485
AGID00048	457	3033	Old	NFKBP65_pS536	1.1897
AGID02155	2461	3608	Old	NOTCH1	0.17662
AGID00340	1969	4147	Set181	Notch1-cleaved	0.6345765
AGID00087	767	sc-5593	Set181	Notch3	-0.09210686
AGID00258	1420	3187	Set181	NQO1	-1.023307
AGID00162	1136	sc-31	Old	NRAS	0.18541
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set181	Oct-4	0.3777192
AGID00420	466	1712-1/ab40803	Old	P16INK4A	-0.70241
AGID00384	470	sc-6246	Old	P21	-0.32242
AGID00105	897	1591-1/ab32034	Old	P27	1.1345
AGID00096	842	AF1555	Old	P27_pT157	0.046126
AGID00099	878	ab64949	Old	P27_pT198	0.13917
AGID00181	1175	9228	Set181	p38-a	0.5482357
AGID00098	479	9211	Old	P38_pT180Y182	0.55779
AGID00049	478	9212	Old	P38MAPK	0.61747
AGID00151	1119	4695	Set181	p44-42-MAPK	-0.183352
AGID00050	481	9282	Old	P53	-0.18751
AGID00490	1187	610833	Old	P62LCKLIGAND	0.26871
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	1.0156
AGID00051	493	1494-1/ab32529	Old	P70S6K1	0.51267
AGID00085	759	9347	Old	P90RSK	-0.1817
AGID00531	770	9344	Old	P90RSK_pT359S363	-0.22527
AGID00182	1178	9346	Set181	p90RSK_pT573	0.608495
AGID00053	499	612024	Old	PAI1	-0.60128
AGID00224	1322	HPA035895	Set181	PAICS	0.4490061
AGID00323	1811	2602	Set181	PAK1	0.105064
AGID02199	2517	PA5-69540	Set181	PAK4	-1.062399
AGID00245	1370	4336-BPC-100	Set181	PAR	-0.4701071
AGID00374	2209	66564	Set181	PARG	-0.06947583
AGID00370	1372	sc-7150	Old	PARP1	NA
AGID00468	501	9546	Old	PARPCLEAVED	0.02081
AGID00274	1591	ab53715	Set181	Patched	-0.1385406
AGID00513	2486	60433	Set181	PAX6	0.08772528
AGID00441	1621	9857	Set181	PAX8	0.7386745
AGID00054	504	2542	Old	PAXILLIN	-0.055184
AGID00055	509	2130	Old	PCADHERIN	0.18293
AGID00248	511	ab29	Old	PCNA	0.63922
AGID00413	2095	43248	Old	PDCD1	NA
AGID00094	816	600-401-965	Old	PDCD4	0.12269
AGID00385	1225	3169	Set181	PDGFRB	-3.960392
AGID00210	1258	ab110332	Set181	PDH	-0.09807769
AGID00324	1817	3205	Set181	PDHA1	-0.3365579
AGID00280	1622	3820	Set181	PDHK1	0.1036255
AGID00056	515	3062	Old	PDK1	0.072757
AGID00057	516	3061	Old	PDK1_pS241	0.24597
AGID00300	1234	sc-19090	Old	PDL1	0.5212
AGID00124	1017	2780	Old	PEA15	-0.33093
AGID00125	1018	44-836G	Old	PEA15_pS116	-0.79172
AGID00440	2429	3192	Set181	PERK	-0.872241
AGID02207	2569	ab192876	Set181	PGM1	-0.1345082
AGID00281	1623	13428	Set181	PHGDH	0.04368378
AGID00425	2399	22789-1-AP	Set181	PHLPP	0.2606889
AGID00226	1330	sc-376412	Set181	PI3K-p110-b	-0.2000846
AGID00093	808	4255	Old	PI3KP110ALPHA	0.27929
AGID00058	523	06-195	Old	PI3KP85	0.8239
AGID00296	1667	5675	Set181	PKA-a	0.5650269
AGID00259	1426	9375	Set181	PKC-a-b-II_pT638_T641	0.6934506
AGID00172	529	05-154	Old	PKCALPHA	-0.12604
AGID00460	530	06-822	Old	PKCALPHA_pS657	0.096119
AGID00114	932	07-875	Old	PKCDELTA_pS664	0.80277
AGID00163	1137	9371	Old	PKCPANBETAII_pS660	0.75773
AGID00126	1025	4053	Old	PKM2	NA
AGID00512	2489	5690	Set181	PLC-gamma1	2.855347
AGID02138	2441	GTX133463	Set181	PLC-gamma2_pY759	0.4233789
AGID00084	754	4513	Set181	PLK1	0.982363
AGID00203	1246	22510002	Set181	PMS2	0.5542024
AGID00207	1254	ab14734	Set181	Porin	-0.3060041
AGID00381	549	1483-1/ab32085	Old	PR	-0.11608
AGID00081	738	AHO1031	Set181	PRAS40	-0.2064015
AGID00082	739	44-1100G	Old	PRAS40_pT246	0.30272
AGID00424	2398	OAAF05458	Set181	PRC1_pT481	0.0259289
AGID00492	1205	HPA007730	Old	PRDX1	-0.50437
AGID00190	1204	ab102739	Old	PREX1	-0.40684
AGID00061	566	9552	Old	PTEN	0.94635
AGID00364	2154	ab76942	Set181	PTPN12	-0.8349699
AGID00218	1290	4976	Set181	Puma	-0.3238918
AGID00200	1242	SAB2900066	Old	PYGB	NA
AGID00535	1494	ab61013	Old	PYGL	NA
AGID00202	1245	H00005837-M10	Old	PYGM	NA
AGID00275	1607	3291	Set181	Pyk2_pY402	0.8125492
AGID00145	1083	3539	Old	RAB11	-0.46379
AGID00169	1150	4314	Old	RAB25	-0.16369
AGID00342	1979	24555	Set181	Rad23A	0.475343
AGID00261	987	05-525	Old	RAD50	-0.44614
AGID00360	579	NA71	Old	RAD51	0.86695
AGID00158	1128	2280	Old	RAPTOR	0.011879
AGID00059	552	9309	Old	RB	0.14934
AGID00060	557	9308	Old	RB_pS807S811	1.6203
AGID00164	1138	21390002	Old	RBM15	1.1688
AGID00547	735	3221	Old	RET_pY905	NA
AGID00097	847	MAB3426	Set181	Rheb	-1.296903
AGID00159	1129	2114	Old	RICTOR	0.34766
AGID00160	1130	3806	Old	RICTOR_pT1135	-0.031211
AGID00282	1624	4926	Set181	RIP	-0.3965072
AGID00283	1625	13526	Set181	RIP3	0.002885707
AGID00416	1368	2208	Set181	RPA32	0.7529994
AGID00246	1375	A300-245A	Set181	RPA32_pS4_S8	0.5651069
AGID00341	1978	3388	Set181	RRM1	0.09357926
