AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.21918
AGID00111	913	sc-23957	Old	1433EPSILON	0.23018
AGID00101	883	sc-1019	Old	1433ZETA	-0.46131
AGID00001	2	9452	Old	4EBP1	-0.60307
AGID00002	3	9456	Old	4EBP1_pS65	-0.41639
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.37858
AGID00443	8	9455	Old	4EBP1_pT70	-0.094312
AGID00120	985	4937	Old	53BP1	-1.1142
AGID00004	13	3661	Old	ACC_pS79	-0.87124
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.74196
AGID00408	2372	3658	Set181	AceCS1	0.06372538
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.037051
AGID00404	2367	9189	Set181	ACSL1	-0.2225574
AGID02144	2450	PA5-27081	Old	ACVRL1	0.40022
AGID00186	1198	ab88574	Old	ADAR1	-0.54395
AGID00146	1084	4691	Old	AKT	-0.60209
AGID00028	230	9271	Old	AKT_pS473	0.038885
AGID00170	1154	2965	Old	AKT_pT308	-0.046638
AGID00316	1800	3063	Set181	Akt2	0.07981781
AGID00347	2009	8599	Set181	Akt2_pS474	0.1035573
AGID02215	2577	ab195377	Set181	ALKBH5	-0.7540871
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	-0.04274871
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	-0.09465501
AGID00006	39	2532	Old	AMPKALPHA	-0.32211
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.29729
AGID00193	1208	610066	Old	ANNEXIN1	0.70162
AGID00166	1142	610668	Old	ANNEXINVII	0.075405
AGID00371	756	1852-1/ab52615	Old	AR	-0.4018
AGID00194	1217	4432	Old	ARAF	0.12763
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.3924
AGID00260	1053	sc-32761	Old	ARID1A	-0.026758
AGID00264	1560	HPA029318	Old	ASNS	-0.44415
AGID00276	1612	3415	Set181	Atg3	0.08545701
AGID00309	1775	13507	Set181	Atg4B	0.7742113
AGID00310	1776	12994	Set181	Atg5	0.08493808
AGID00277	1613	8558	Set181	Atg7	0.1845317
AGID00242	1363	2873	Old	ATM	-0.83868
AGID02142	2447	13050	Set181	ATM_pS1981	0.3427238
AGID00217	1289	ab14748	Set181	ATP5A	1.430266
AGID02145	2451	PA5-43776	Set181	ATP5H	0.2281366
AGID02150	2456	13934	Set181	ATR	-0.3116472
AGID00315	1795	ab178407	Set181	ATR_pS428	-0.05217237
AGID00268	1569	ab97508	Set181	ATRX	-1.169835
AGID00391	2332	14475	Set181	Aurora-A	-0.8410199
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.6208828
AGID02195	2512	MA5-27890	Set181	Aurora-B	0.5841186
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	1.562376
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.1201578
AGID00301	1725	14058	Set181	B7-H3	0.9524129
AGID00302	1726	14572	Set181	B7-H4	-0.3427863
AGID00008	63	9291	Old	BAD_pS112	-0.11336
AGID00009	71	1542-1/ab32371	Old	BAK	1.0634
AGID00192	1207	sc-28383	Old	BAP1C4	-0.68667
AGID00010	73	2772	Old	BAX	-0.11182
AGID00433	80	M0887	Old	BCL2	0.058607
AGID00219	1299	PAB8528	Old	BCL2A1	0.38537
AGID00012	84	1018-1	Old	BCLXL	0.11266
AGID00377	87	sc-10086	Old	BECLIN	0.32622
AGID00011	75	9562	Old	BETACATENIN	-1.2815
AGID00013	88	1008-1/ab32060	Old	BID	0.17227
AGID00180	90	1036-1/ab32158	Old	BIM	-0.44282
AGID00221	1311	610978	Set181	BiP-GRP78	0.06887714
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.1077544
AGID00355	92	1647/ab33899	Old	BRAF	-0.43017
AGID00014	94	2696	Old	BRAF_pS445	0.14201
AGID00445	761	9012	Old	BRCA2	0.24552
AGID00266	1567	13440	Old	BRD4	-0.41674
AGID00168	1146	2865	Set181	c-Abl_pY412	-0.1772338
AGID00278	1615	3130	Set181	c-IAP2	0.5606795
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.054824
AGID00429	2407	2679	Set181	Calnexin	-0.4567118
AGID00176	1165	9496	Set181	Caspase-8-cleaved	0.6643414
AGID00623	111	9665	Old	CASPASE3	0.027001
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.19031
AGID00118	951	9746	Old	CASPASE8	0.12742
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.9059
AGID00358	2100	ab76000	Set181	CD134	-0.2521274
AGID00303	1737	826701	Set181	CD171	3.266758
AGID00410	125	1632-1/ab78237	Old	CD20	0.47123
AGID00220	1308	ab28340	Old	CD26	-0.099886
AGID00191	1206	610467	Set181	CD29	0.2959627
AGID00017	127	M0823	Old	CD31	0.36377
AGID00369	2174	ab108403	Set181	CD38	0.1159738
AGID00359	2104	ab133616	Set181	CD4	0.7060816
AGID00411	1398	3570	Set181	CD44	0.1705885
AGID00237	1352	M070101-2	Set181	CD45	0.8202126
AGID00115	937	611016	Old	CD49B	0.39988
AGID02171	2482	91882	Set181	CD86	1.237162
AGID00329	1873	4688	Set181	cdc25C	-0.3270474
AGID00227	1332	4651	Set181	Cdc42	0.5139601
AGID00422	2396	3387	Set181	Cdc6	-0.03553824
AGID00501	1007	9112	Old	CDK1	0.46769
AGID00293	1658	ab32384	Set181	CDK1_pT14	-1.012814
