AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.14144
AGID00111	913	sc-23957	Old	1433EPSILON	-0.014931
AGID00101	883	sc-1019	Old	1433ZETA	0.93516
AGID00001	2	9452	Old	4EBP1	0.45847
AGID00002	3	9456	Old	4EBP1_pS65	-0.35271
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.18044
AGID00443	8	9455	Old	4EBP1_pT70	0.19721
AGID00120	985	4937	Old	53BP1	-1.594
AGID00004	13	3661	Old	ACC_pS79	0.71564
AGID00005	14	1768-1/ab45174	Old	ACC1	1.211
AGID00408	2372	3658	Set173	AceCS1	0.3570984
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.97356
AGID00404	2367	9189	Set173	ACSL1	-0.3274253
AGID02144	2450	PA5-27081	Old	ACVRL1	0.24735
AGID00186	1198	ab88574	Old	ADAR1	-0.35344
AGID00146	1084	4691	Old	AKT	-0.11862
AGID00028	230	9271	Old	AKT_pS473	0.57603
AGID00170	1154	2965	Old	AKT_pT308	0.6075
AGID00316	1800	3063	Set173	Akt2	0.4561616
AGID00347	2009	8599	Set173	Akt2_pS474	-0.007602372
AGID02215	2577	ab195377	Set173	ALKBH5	-0.2399889
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.2698531
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.3954177
AGID00006	39	2532	Old	AMPKALPHA	-0.21345
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.24714
AGID00193	1208	610066	Old	ANNEXIN1	2.1954
AGID00166	1142	610668	Old	ANNEXINVII	0.16502
AGID00371	756	1852-1/ab52615	Old	AR	-1.2553
AGID00194	1217	4432	Old	ARAF	0.287
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.2785
AGID00260	1053	sc-32761	Old	ARID1A	-0.23704
AGID00264	1560	HPA029318	Old	ASNS	0.31006
