AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.014945
AGID00111	913	sc-23957	Old	1433EPSILON	-0.082381
AGID00101	883	sc-1019	Old	1433ZETA	0.0093839
AGID00001	2	9452	Old	4EBP1	0.33047
AGID00002	3	9456	Old	4EBP1_pS65	0.026993
AGID00003	6	9459	Old	4EBP1_pT37T46	0.22739
AGID00443	8	9455	Old	4EBP1_pT70	-0.1109
AGID00120	985	4937	Old	53BP1	0.006109
AGID00004	13	3661	Old	ACC_pS79	0.68398
AGID00005	14	1768-1/ab45174	Old	ACC1	0.71769
AGID00408	2372	3658	Set173	AceCS1	-0.4854293
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.75893
AGID00404	2367	9189	Set173	ACSL1	-0.2464862
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.10892
AGID00186	1198	ab88574	Old	ADAR1	0.41201
AGID00146	1084	4691	Old	AKT	0.21107
AGID00028	230	9271	Old	AKT_pS473	-0.96173
AGID00170	1154	2965	Old	AKT_pT308	-1.2741
AGID00316	1800	3063	Set173	Akt2	0.5187513
AGID00347	2009	8599	Set173	Akt2_pS474	0.1188629
AGID02215	2577	ab195377	Set173	ALKBH5	-0.4562195
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.2077605
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.04884775
AGID00006	39	2532	Old	AMPKALPHA	-0.069203
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.86979
AGID00193	1208	610066	Old	ANNEXIN1	-0.59712
AGID00166	1142	610668	Old	ANNEXINVII	-0.014167
AGID00371	756	1852-1/ab52615	Old	AR	-0.68889
AGID00194	1217	4432	Old	ARAF	0.45513
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.048272
AGID00260	1053	sc-32761	Old	ARID1A	0.45852
AGID00264	1560	HPA029318	Old	ASNS	-0.2169
AGID00276	1612	3415	Set173	Atg3	0.04153735
AGID00309	1775	13507	Set173	Atg4B	-0.4569829
AGID00310	1776	12994	Set173	Atg5	-0.393734
AGID00277	1613	8558	Set173	Atg7	0.2838208
AGID00242	1363	2873	Old	ATM	0.71848
AGID02142	2447	13050	Set173	ATM_pS1981	0.993102
AGID00217	1289	ab14748	Set173	ATP5A	1.008646
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.4354304
AGID02150	2456	13934	Set173	ATR	-0.301805
AGID00315	1795	ab178407	Set173	ATR_pS428	0.1416297
AGID00268	1569	ab97508	Set173	ATRX	0.9131849
AGID00391	2332	14475	Set173	Aurora-A	-0.2774905
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.4482826
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.6095576
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.4142264
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.173049
AGID00301	1725	14058	Set173	B7-H3	-0.3116646
AGID00302	1726	14572	Set173	B7-H4	-0.4531611
AGID00008	63	9291	Old	BAD_pS112	0.15301
AGID00009	71	1542-1/ab32371	Old	BAK	-0.73454
AGID00192	1207	sc-28383	Old	BAP1C4	-0.023779
AGID00010	73	2772	Old	BAX	0.17112
AGID00433	80	M0887	Old	BCL2	-0.32429
AGID00219	1299	PAB8528	Old	BCL2A1	-0.11823
AGID00012	84	1018-1	Old	BCLXL	0.1962
AGID00377	87	sc-10086	Old	BECLIN	0.066988
AGID00011	75	9562	Old	BETACATENIN	0.0049278
AGID00013	88	1008-1/ab32060	Old	BID	-0.0035677
AGID00180	90	1036-1/ab32158	Old	BIM	0.0010205
