AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.081498
AGID00111	913	sc-23957	Old	1433EPSILON	0.00079832
AGID00101	883	sc-1019	Old	1433ZETA	-0.25037
AGID00001	2	9452	Old	4EBP1	0.22236
AGID00002	3	9456	Old	4EBP1_pS65	-0.031453
AGID00003	6	9459	Old	4EBP1_pT37T46	0.071385
AGID00443	8	9455	Old	4EBP1_pT70	0.10482
AGID00120	985	4937	Old	53BP1	-1.1805
AGID00004	13	3661	Old	ACC_pS79	0.20505
AGID00005	14	1768-1/ab45174	Old	ACC1	0.011684
AGID00408	2372	3658	Set181	AceCS1	-0.5447528
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.9554
AGID00404	2367	9189	Set181	ACSL1	-0.351158
AGID02144	2450	PA5-27081	Old	ACVRL1	0.11745
AGID00186	1198	ab88574	Old	ADAR1	-0.39902
AGID00146	1084	4691	Old	AKT	-0.20569
AGID00028	230	9271	Old	AKT_pS473	-0.39928
AGID00170	1154	2965	Old	AKT_pT308	-0.44625
AGID00316	1800	3063	Set181	Akt2	0.104186
AGID00347	2009	8599	Set181	Akt2_pS474	1.868418
AGID02215	2577	ab195377	Set181	ALKBH5	-0.1045716
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	-0.1607623
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.3694427
AGID00006	39	2532	Old	AMPKALPHA	-0.42918
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.35222
AGID00193	1208	610066	Old	ANNEXIN1	-0.29362
AGID00166	1142	610668	Old	ANNEXINVII	0.1504
AGID00371	756	1852-1/ab52615	Old	AR	-0.35028
AGID00194	1217	4432	Old	ARAF	0.37113
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.87433
AGID00260	1053	sc-32761	Old	ARID1A	0.11931
AGID00264	1560	HPA029318	Old	ASNS	0.24918
AGID00276	1612	3415	Set181	Atg3	0.07259013
AGID00309	1775	13507	Set181	Atg4B	-0.1858407
AGID00310	1776	12994	Set181	Atg5	-0.2511416
AGID00277	1613	8558	Set181	Atg7	-0.1286438
AGID00242	1363	2873	Old	ATM	0.71962
AGID02142	2447	13050	Set181	ATM_pS1981	2.374062
AGID00217	1289	ab14748	Set181	ATP5A	0.7015497
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.2060787
AGID02150	2456	13934	Set181	ATR	-0.2216415
AGID00315	1795	ab178407	Set181	ATR_pS428	0.03046684
AGID00268	1569	ab97508	Set181	ATRX	-0.7938907
AGID00391	2332	14475	Set181	Aurora-A	-0.4092567
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.3200283
AGID02195	2512	MA5-27890	Set181	Aurora-B	0.1287485
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.4239886
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.3776655
AGID00301	1725	14058	Set181	B7-H3	-0.3566086
AGID00302	1726	14572	Set181	B7-H4	-0.1352206
AGID00008	63	9291	Old	BAD_pS112	-0.047519
AGID00009	71	1542-1/ab32371	Old	BAK	0.75198
AGID00192	1207	sc-28383	Old	BAP1C4	0.053887
AGID00010	73	2772	Old	BAX	-0.6346
AGID00433	80	M0887	Old	BCL2	0.99831
AGID00219	1299	PAB8528	Old	BCL2A1	0.36829
AGID00012	84	1018-1	Old	BCLXL	-0.40624
AGID00377	87	sc-10086	Old	BECLIN	0.36977
AGID00011	75	9562	Old	BETACATENIN	-1.1989
AGID00013	88	1008-1/ab32060	Old	BID	-0.17276
AGID00180	90	1036-1/ab32158	Old	BIM	0.43701
AGID00221	1311	610978	Set181	BiP-GRP78	-0.07737096
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.1534887
AGID00355	92	1647/ab33899	Old	BRAF	-0.83904
AGID00014	94	2696	Old	BRAF_pS445	0.2078
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.18729
AGID00168	1146	2865	Set181	c-Abl_pY412	0.2781294
AGID00278	1615	3130	Set181	c-IAP2	-0.1907231
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.019903
AGID00429	2407	2679	Set181	Calnexin	-0.3967047
AGID00176	1165	9496	Set181	Caspase-8-cleaved	0.3060797
AGID00623	111	9665	Old	CASPASE3	0.23966
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.34412
AGID00118	951	9746	Old	CASPASE8	-0.21532
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.069762
AGID00358	2100	ab76000	Set181	CD134	0.5704214
AGID00303	1737	826701	Set181	CD171	-0.4949551
AGID00410	125	1632-1/ab78237	Old	CD20	0.0021464
AGID00220	1308	ab28340	Old	CD26	-0.24017
AGID00191	1206	610467	Set181	CD29	0.1056007
AGID00017	127	M0823	Old	CD31	-0.026441
AGID00369	2174	ab108403	Set181	CD38	-0.2126765
AGID00359	2104	ab133616	Set181	CD4	1.560606
AGID00411	1398	3570	Set181	CD44	-0.383151
AGID00237	1352	M070101-2	Set181	CD45	1.686927
AGID00115	937	611016	Old	CD49B	0.084528
AGID02171	2482	91882	Set181	CD86	1.699011
AGID00329	1873	4688	Set181	cdc25C	0.005003906
AGID00227	1332	4651	Set181	Cdc42	0.3556364
AGID00422	2396	3387	Set181	Cdc6	-0.3063487
AGID00501	1007	9112	Old	CDK1	-0.14813
AGID00293	1658	ab32384	Set181	CDK1_pT14	0.06288689
AGID00314	1783	4539	Old	CDK1_pY15	0.48843
AGID00423	2397	8064	Set181	CDT1	1.347913
AGID02101	2348	15102	Set181	cGAS	0.07428146
AGID00447	2410	13460	Set181	CHD1L	0.3190201
AGID00189	1203	2360	Old	CHK1	-0.49362
AGID00234	1348	ab79758	Old	CHK1_pS296	0.17736
AGID00107	903	2348	Old	CHK1_pS345	0.10966
AGID00018	146	3440	Old	CHK2	0.14397
AGID00019	147	2197	Old	CHK2_pT68	0.85487
AGID00527	2078	4952	Old	CIAP	0.25374
AGID00350	2018	3793	Set181	CIITA	-0.08406526
AGID00434	155	9164	Old	CJUN_pS73	-0.070359
AGID00020	157	1522-1/ab32363	Old	CKIT	3.5719
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.66249
AGID00466	726	3127	Old	CMET	-0.06125
AGID00079	727	3129	Old	CMET_pY1235	0.1155
AGID00167	161	9402	Old	CMYC	-0.3273
AGID00292	1656	11130-1-AP	Old	COG3	-0.78283
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.072269
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set181	Connexin-43	-0.01054781
AGID00269	1571	6434	Set181	Coup-TFII	0.5646634
AGID00150	1116	4850	Set181	Cox-IV	0.1205219
AGID00195	1218	4842	Set181	Cox2	0.7158263
AGID00188	803	05-739	Old	CRAF	-0.18825
AGID00022	179	9427	Old	CRAF_pS338	0.1993
AGID00023	181	9197	Set181	Creb	1.829787
AGID00393	2334	9198	Set181	CREB_pS133	0.510025
AGID00365	2155	4980	Set181	CSK	1.014912
AGID00367	2160	9201	Set181	CtIP	0.7926956
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set181	Cyclin-D3	0.01502113
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.27876
AGID00382	194	sc-718	Old	CYCLIND1	0.325
AGID00437	199	sc-25303	Old	CYCLINE1	-0.86903
AGID00449	202	1142-1	Old	CYCLINE2	-0.055644
AGID00209	1257	ab110324	Set181	Cyclophilin-F	0.5189826
AGID00247	1379	ab48389	Set181	D-a-Tubulin	-0.05093016
AGID00308	1770	GTX10524	Set181	DAPK1_pS308	-0.250919
AGID00304	1744	ab51601	Set181	DAPK2	-0.103087
AGID00343	1980	6998	Set181	DDB-1	0.04559314
AGID00427	2402	5583	Set181	DDR1	-0.1071597
AGID00428	2403	SAB4504671	Set181	DDR1_pY513	0.03765578
AGID00532	1273	Bast Lab	Old	DIRAS3	0.017673
AGID00104	891	ab76008	Old	DJ1	-0.25123
AGID02146	2452	4658	Set181	DM-Histone-H3	1.340542
AGID00386	1397	ab32521	Set181	DM-K9-Histone-H3	-0.1568194
AGID00352	2030	14649	Set181	DNA-Ligase-IV	-0.1974979
AGID00407	2371	13609	Set181	DNA_POLG	0.4455678
AGID00399	2344	5032	Set181	DNMT1	0.2727133
AGID00409	2373	5391	Set181	DRP1	0.03404398
AGID00253	1406	5149	Old	DUSP4	-0.30615
AGID00334	1936	ab76310	Set181	DUSP6	0.2506417
AGID00116	940	3218	Old	DVL3	-0.32366
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.2546
AGID00135	1060	2332	Old	EEF2	-0.48625
AGID00136	1061	3692	Old	EEF2K	-0.21711
AGID00152	1120	2232	Old	EGFR	-0.16413
AGID00450	217	2234	Old	EGFR_pY1068	0.32122
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.046129
