AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.12143
AGID00111	913	sc-23957	Old	1433EPSILON	0.013025
AGID00101	883	sc-1019	Old	1433ZETA	0.48309
AGID00001	2	9452	Old	4EBP1	0.84681
AGID00002	3	9456	Old	4EBP1_pS65	0.40926
AGID00003	6	9459	Old	4EBP1_pT37T46	0.439
AGID00443	8	9455	Old	4EBP1_pT70	0.43871
AGID00120	985	4937	Old	53BP1	-0.42731
AGID00004	13	3661	Old	ACC_pS79	0.10827
AGID00005	14	1768-1/ab45174	Old	ACC1	0.1602
AGID00408	2372	3658	Set173	AceCS1	0.2177462
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.56903
AGID00404	2367	9189	Set173	ACSL1	0.1377705
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.049403
AGID00186	1198	ab88574	Old	ADAR1	0.0066573
AGID00146	1084	4691	Old	AKT	0.89446
AGID00028	230	9271	Old	AKT_pS473	0.38453
AGID00170	1154	2965	Old	AKT_pT308	0.23806
AGID00316	1800	3063	Set173	Akt2	0.1100585
AGID00347	2009	8599	Set173	Akt2_pS474	-0.1007202
AGID02215	2577	ab195377	Set173	ALKBH5	-0.3756705
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.1916905
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.0350121
AGID00006	39	2532	Old	AMPKALPHA	-0.11171
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.51865
AGID00193	1208	610066	Old	ANNEXIN1	0.24727
AGID00166	1142	610668	Old	ANNEXINVII	0.14242
AGID00371	756	1852-1/ab52615	Old	AR	-0.6388
AGID00194	1217	4432	Old	ARAF	0.043314
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.16651
AGID00260	1053	sc-32761	Old	ARID1A	0.090716
AGID00264	1560	HPA029318	Old	ASNS	0.24849
AGID00276	1612	3415	Set173	Atg3	-0.05379212
AGID00309	1775	13507	Set173	Atg4B	0.3403899
AGID00310	1776	12994	Set173	Atg5	-0.1089517
AGID00277	1613	8558	Set173	Atg7	-0.1707488
AGID00242	1363	2873	Old	ATM	0.2004
AGID02142	2447	13050	Set173	ATM_pS1981	1.186463
AGID00217	1289	ab14748	Set173	ATP5A	0.7296774
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.5859567
AGID02150	2456	13934	Set173	ATR	-0.1706751
AGID00315	1795	ab178407	Set173	ATR_pS428	0.2180216
AGID00268	1569	ab97508	Set173	ATRX	-1.642242
AGID00391	2332	14475	Set173	Aurora-A	0.6366582
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	0.3376097
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.03726159
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.02252629
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.477274
AGID00301	1725	14058	Set173	B7-H3	1.157089
AGID00302	1726	14572	Set173	B7-H4	-0.1042351
AGID00008	63	9291	Old	BAD_pS112	-0.29163
AGID00009	71	1542-1/ab32371	Old	BAK	0.10162
AGID00192	1207	sc-28383	Old	BAP1C4	-0.098001
AGID00010	73	2772	Old	BAX	-0.085796
AGID00433	80	M0887	Old	BCL2	0.060404
AGID00219	1299	PAB8528	Old	BCL2A1	0.071114
AGID00012	84	1018-1	Old	BCLXL	9.3959e-05
AGID00377	87	sc-10086	Old	BECLIN	0.095836
AGID00011	75	9562	Old	BETACATENIN	-1.1265
AGID00013	88	1008-1/ab32060	Old	BID	-0.16474
AGID00180	90	1036-1/ab32158	Old	BIM	-0.051609
AGID00221	1311	610978	Set173	BiP-GRP78	0.2183897
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.008034677
AGID00355	92	1647/ab33899	Old	BRAF	-0.6564
AGID00014	94	2696	Old	BRAF_pS445	-0.30533
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.038639
AGID00168	1146	2865	Set173	c-Abl_pY412	0.1813843
AGID00278	1615	3130	Set173	c-IAP2	-1.650616
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.057697
AGID00429	2407	2679	Set173	Calnexin	0.3800367
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.5564389
AGID00623	111	9665	Old	CASPASE3	-0.19567
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.013284
AGID00118	951	9746	Old	CASPASE8	0.10856
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.41415
AGID00358	2100	ab76000	Set173	CD134	-0.1042917
AGID00303	1737	826701	Set173	CD171	1.47919
AGID00410	125	1632-1/ab78237	Old	CD20	-0.011767
AGID00220	1308	ab28340	Old	CD26	0.15973
AGID00191	1206	610467	Set173	CD29	0.3675003
AGID00017	127	M0823	Old	CD31	0.4352
AGID00369	2174	ab108403	Set173	CD38	0.6245612
AGID00359	2104	ab133616	Set173	CD4	-0.6740504
AGID00411	1398	3570	Set173	CD44	1.623616
AGID00237	1352	M070101-2	Set173	CD45	0.1534886
AGID00115	937	611016	Old	CD49B	0.42212
AGID02171	2482	91882	Set173	CD86	2.322108
AGID00329	1873	4688	Set173	cdc25C	0.2247306
AGID00227	1332	4651	Set173	Cdc42	0.582863
AGID00422	2396	3387	Set173	Cdc6	0.7293214
AGID00501	1007	9112	Old	CDK1	0.27934
AGID00293	1658	ab32384	Set173	CDK1_pT14	1.281669
AGID00314	1783	4539	Old	CDK1_pY15	1.3004
AGID00423	2397	8064	Set173	CDT1	0.03182902
AGID02101	2348	15102	Set173	cGAS	0.288037
AGID00447	2410	13460	Set173	CHD1L	0.06241218
AGID00189	1203	2360	Old	CHK1	0.18748
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.095425
AGID00107	903	2348	Old	CHK1_pS345	0.046731
AGID00018	146	3440	Old	CHK2	-0.31768
AGID00019	147	2197	Old	CHK2_pT68	0.038914
AGID00527	2078	4952	Old	CIAP	0.37143
AGID00350	2018	3793	Set173	CIITA	-0.04052926
AGID00434	155	9164	Old	CJUN_pS73	-0.11029
AGID00020	157	1522-1/ab32363	Old	CKIT	0.64699
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.469
AGID00466	726	3127	Old	CMET	0.18591
AGID00079	727	3129	Old	CMET_pY1235	-0.018761
AGID00167	161	9402	Old	CMYC	0.3884
AGID00292	1656	11130-1-AP	Old	COG3	-0.75044
AGID00021	171	sc-20649	Old	COLLAGENVI	0.37743
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-0.1503575
AGID00269	1571	6434	Set173	Coup-TFII	-0.3952378
AGID00150	1116	4850	Set173	Cox-IV	0.8670236
AGID00195	1218	4842	Set173	Cox2	-0.08448769
AGID00188	803	05-739	Old	CRAF	-0.27415
AGID00022	179	9427	Old	CRAF_pS338	-0.057785
AGID00023	181	9197	Set173	Creb	-0.2507081
AGID00393	2334	9198	Set173	CREB_pS133	0.4229631
AGID00365	2155	4980	Set173	CSK	-0.384062
AGID00367	2160	9201	Set173	CtIP	-0.8802473
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.8434476
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.12299
AGID00382	194	sc-718	Old	CYCLIND1	0.011716
AGID00437	199	sc-25303	Old	CYCLINE1	-0.027209
AGID00449	202	1142-1	Old	CYCLINE2	0.18164
AGID00209	1257	ab110324	Set173	Cyclophilin-F	1.082883
AGID00247	1379	ab48389	Set173	D-a-Tubulin	-0.06898163
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	-0.06279679
AGID00304	1744	ab51601	Set173	DAPK2	0.002945346
AGID00343	1980	6998	Set173	DDB-1	0.4508891
AGID00427	2402	5583	Set173	DDR1	-0.4460552
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	0.2756578
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.11901
AGID00104	891	ab76008	Old	DJ1	0.2464
AGID02146	2452	4658	Set173	DM-Histone-H3	-0.05314953
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.5550979
AGID00352	2030	14649	Set173	DNA-Ligase-IV	-0.3209721
AGID00407	2371	13609	Set173	DNA_POLG	0.8786808
AGID00399	2344	5032	Set173	DNMT1	0.4918604
AGID00409	2373	5391	Set173	DRP1	0.683198
AGID00253	1406	5149	Old	DUSP4	1.6955
AGID00334	1936	ab76310	Set173	DUSP6	0.4010712
AGID00116	940	3218	Old	DVL3	-0.21342
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-2.7485
AGID00135	1060	2332	Old	EEF2	0.72432
AGID00136	1061	3692	Old	EEF2K	-0.20816
AGID00152	1120	2232	Old	EGFR	-0.45232
AGID00450	217	2234	Old	EGFR_pY1068	-0.025232
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.1708
AGID00078	722	9742	Old	EIF4E	0.39409
AGID00328	1871	ab76256	Set173	eIF4E_pS209	-0.2566796
AGID00154	1124	2498	Old	EIF4G	-0.38243
AGID00027	228	9181	Set173	Elk1_pS383	-0.3322759
