AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.22956
AGID00111	913	sc-23957	Old	1433EPSILON	0.39294
AGID00101	883	sc-1019	Old	1433ZETA	-1.1373
AGID00001	2	9452	Old	4EBP1	-0.26465
AGID00002	3	9456	Old	4EBP1_pS65	-0.61024
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.2427
AGID00443	8	9455	Old	4EBP1_pT70	-0.18379
AGID00120	985	4937	Old	53BP1	-1.5249
AGID00004	13	3661	Old	ACC_pS79	-0.25992
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.88221
AGID00408	2372	3658	Set172	AceCS1	0.6046916
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.58804
AGID00404	2367	9189	Set172	ACSL1	2.983603
AGID02144	2450	PA5-27081	Old	ACVRL1	0.36563
AGID00186	1198	ab88574	Old	ADAR1	-0.10748
AGID00146	1084	4691	Old	AKT	-1.1494
AGID00028	230	9271	Old	AKT_pS473	0.70598
AGID00170	1154	2965	Old	AKT_pT308	-0.073286
AGID00316	1800	3063	Set172	Akt2	-0.1874583
AGID00347	2009	8599	Set172	Akt2_pS474	1.380245
AGID02215	2577	ab195377	Set172	ALKBH5	-1.407251
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	0.2868256
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.01391935
AGID00006	39	2532	Old	AMPKALPHA	-0.14864
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.27157
AGID00193	1208	610066	Old	ANNEXIN1	0.4928
AGID00166	1142	610668	Old	ANNEXINVII	0.64345
AGID00371	756	1852-1/ab52615	Old	AR	-0.45179
AGID00194	1217	4432	Old	ARAF	-0.20814
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.84629
AGID00260	1053	sc-32761	Old	ARID1A	-0.17388
AGID00264	1560	HPA029318	Old	ASNS	0.20657
AGID00276	1612	3415	Set172	Atg3	-0.1072075
AGID00309	1775	13507	Set172	Atg4B	-0.1894128
AGID00310	1776	12994	Set172	Atg5	-0.04142598
