AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.080763
AGID00111	913	sc-23957	Old	1433EPSILON	0.039119
AGID00101	883	sc-1019	Old	1433ZETA	-0.089871
AGID00001	2	9452	Old	4EBP1	0.12859
AGID00002	3	9456	Old	4EBP1_pS65	0.18227
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.21814
AGID00443	8	9455	Old	4EBP1_pT70	0.013325
AGID00120	985	4937	Old	53BP1	0.58395
AGID00004	13	3661	Old	ACC_pS79	-0.74463
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.55645
AGID00408	2372	3658	Set181	AceCS1	-1.105376
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.95602
AGID00404	2367	9189	Set181	ACSL1	-1.164041
AGID02144	2450	PA5-27081	Old	ACVRL1	0.061511
AGID00186	1198	ab88574	Old	ADAR1	0.17405
AGID00146	1084	4691	Old	AKT	-0.21114
AGID00028	230	9271	Old	AKT_pS473	-0.94555
AGID00170	1154	2965	Old	AKT_pT308	-0.95384
AGID00316	1800	3063	Set181	Akt2	0.5365435
AGID00347	2009	8599	Set181	Akt2_pS474	-0.7668014
AGID02215	2577	ab195377	Set181	ALKBH5	1.088699
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.1154009
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.02077493
AGID00006	39	2532	Old	AMPKALPHA	-0.19191
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.32025
AGID00193	1208	610066	Old	ANNEXIN1	-1.1025
AGID00166	1142	610668	Old	ANNEXINVII	-0.0026821
AGID00371	756	1852-1/ab52615	Old	AR	0.27233
AGID00194	1217	4432	Old	ARAF	0.22675
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.098386
AGID00260	1053	sc-32761	Old	ARID1A	0.50446
AGID00264	1560	HPA029318	Old	ASNS	-0.72945
AGID00276	1612	3415	Set181	Atg3	0.1397804
AGID00309	1775	13507	Set181	Atg4B	-0.2811224
AGID00310	1776	12994	Set181	Atg5	0.3410945
