AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.06252
AGID00111	913	sc-23957	Old	1433EPSILON	-0.0037284
AGID00101	883	sc-1019	Old	1433ZETA	-0.045062
AGID00001	2	9452	Old	4EBP1	-0.084643
AGID00002	3	9456	Old	4EBP1_pS65	-0.14198
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.6109
AGID00443	8	9455	Old	4EBP1_pT70	-0.05958
AGID00120	985	4937	Old	53BP1	0.22806
AGID00004	13	3661	Old	ACC_pS79	-0.92133
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.75731
AGID00408	2372	3658	Set181	AceCS1	-0.6422204
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.65225
AGID00404	2367	9189	Set181	ACSL1	-0.6631523
AGID02144	2450	PA5-27081	Old	ACVRL1	0.014857
AGID00186	1198	ab88574	Old	ADAR1	-0.19694
AGID00146	1084	4691	Old	AKT	-0.30975
AGID00028	230	9271	Old	AKT_pS473	-1.1566
AGID00170	1154	2965	Old	AKT_pT308	-1.1853
AGID00316	1800	3063	Set181	Akt2	0.4578666
AGID00347	2009	8599	Set181	Akt2_pS474	-0.6449803
AGID02215	2577	ab195377	Set181	ALKBH5	1.080093
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.1599603
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.1275862
AGID00006	39	2532	Old	AMPKALPHA	-0.28331
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.53903
AGID00193	1208	610066	Old	ANNEXIN1	-0.46138
AGID00166	1142	610668	Old	ANNEXINVII	0.068326
AGID00371	756	1852-1/ab52615	Old	AR	-0.28154
AGID00194	1217	4432	Old	ARAF	0.23014
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.18861
AGID00260	1053	sc-32761	Old	ARID1A	0.57941
AGID00264	1560	HPA029318	Old	ASNS	-0.79546
AGID00276	1612	3415	Set181	Atg3	-0.037719
AGID00309	1775	13507	Set181	Atg4B	-0.4864471
AGID00310	1776	12994	Set181	Atg5	-0.2189757
AGID00277	1613	8558	Set181	Atg7	0.06074111
AGID00242	1363	2873	Old	ATM	0.70647
AGID02142	2447	13050	Set181	ATM_pS1981	-0.198703
AGID00217	1289	ab14748	Set181	ATP5A	1.630336
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.04078155
AGID02150	2456	13934	Set181	ATR	-0.2972532
AGID00315	1795	ab178407	Set181	ATR_pS428	-0.133791
AGID00268	1569	ab97508	Set181	ATRX	1.387394
AGID00391	2332	14475	Set181	Aurora-A	-0.2066076
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.6382403
AGID02195	2512	MA5-27890	Set181	Aurora-B	0.5942621
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.1608884
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	-0.1676884
AGID00301	1725	14058	Set181	B7-H3	0.429598
AGID00302	1726	14572	Set181	B7-H4	-0.562837
AGID00008	63	9291	Old	BAD_pS112	-0.36505
AGID00009	71	1542-1/ab32371	Old	BAK	0.40145
AGID00192	1207	sc-28383	Old	BAP1C4	0.27693
AGID00010	73	2772	Old	BAX	-0.51385
AGID00433	80	M0887	Old	BCL2	0.57357
AGID00219	1299	PAB8528	Old	BCL2A1	-0.24986
AGID00012	84	1018-1	Old	BCLXL	0.54461
AGID00377	87	sc-10086	Old	BECLIN	0.29499
AGID00011	75	9562	Old	BETACATENIN	-0.29488
AGID00013	88	1008-1/ab32060	Old	BID	-0.60645
AGID00180	90	1036-1/ab32158	Old	BIM	0.44621
AGID00221	1311	610978	Set181	BiP-GRP78	-0.1122798
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.1911957
AGID00355	92	1647/ab33899	Old	BRAF	-0.17008
AGID00014	94	2696	Old	BRAF_pS445	0.15486
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.81945
AGID00168	1146	2865	Set181	c-Abl_pY412	-0.4718819
AGID00278	1615	3130	Set181	c-IAP2	0.2542252
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.087195
AGID00429	2407	2679	Set181	Calnexin	-0.4383002
AGID00176	1165	9496	Set181	Caspase-8-cleaved	-0.5161501
AGID00623	111	9665	Old	CASPASE3	0.21919
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.98043
AGID00118	951	9746	Old	CASPASE8	-0.25521
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.2026
AGID00358	2100	ab76000	Set181	CD134	-0.681957
AGID00303	1737	826701	Set181	CD171	-1.346608
AGID00410	125	1632-1/ab78237	Old	CD20	0.046916
AGID00220	1308	ab28340	Old	CD26	-0.015358
AGID00191	1206	610467	Set181	CD29	0.05913944
AGID00017	127	M0823	Old	CD31	0.10206
AGID00369	2174	ab108403	Set181	CD38	0.4882223
AGID00359	2104	ab133616	Set181	CD4	2.809129
AGID00411	1398	3570	Set181	CD44	-1.221883
AGID00237	1352	M070101-2	Set181	CD45	1.252086
AGID00115	937	611016	Old	CD49B	1.0897
AGID02171	2482	91882	Set181	CD86	0.1953513
AGID00329	1873	4688	Set181	cdc25C	0.6100463
AGID00227	1332	4651	Set181	Cdc42	0.3376941
AGID00422	2396	3387	Set181	Cdc6	-0.3229754
AGID00501	1007	9112	Old	CDK1	-0.43988
AGID00293	1658	ab32384	Set181	CDK1_pT14	0.4780919
AGID00314	1783	4539	Old	CDK1_pY15	0.23723
AGID00423	2397	8064	Set181	CDT1	-0.5670162
AGID02101	2348	15102	Set181	cGAS	0.2090556
AGID00447	2410	13460	Set181	CHD1L	0.08556445
AGID00189	1203	2360	Old	CHK1	-0.0069775
AGID00234	1348	ab79758	Old	CHK1_pS296	0.079911
AGID00107	903	2348	Old	CHK1_pS345	-0.1755
AGID00018	146	3440	Old	CHK2	0.14367
AGID00019	147	2197	Old	CHK2_pT68	0.017459
AGID00527	2078	4952	Old	CIAP	-0.032722
AGID00350	2018	3793	Set181	CIITA	-0.1615425
AGID00434	155	9164	Old	CJUN_pS73	0.097787
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.17304
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.60791
AGID00466	726	3127	Old	CMET	-0.11168
AGID00079	727	3129	Old	CMET_pY1235	0.16974
AGID00167	161	9402	Old	CMYC	-0.358
AGID00292	1656	11130-1-AP	Old	COG3	-0.078053
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.32973
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set181	Connexin-43	1.943134
AGID00269	1571	6434	Set181	Coup-TFII	-0.3258745
AGID00150	1116	4850	Set181	Cox-IV	-0.6820654
AGID00195	1218	4842	Set181	Cox2	0.03064254
