AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.051054
AGID00111	913	sc-23957	Old	1433EPSILON	0.39067
AGID00101	883	sc-1019	Old	1433ZETA	-0.22907
AGID00001	2	9452	Old	4EBP1	0.17274
AGID00002	3	9456	Old	4EBP1_pS65	-0.028008
AGID00003	6	9459	Old	4EBP1_pT37T46	0.099368
AGID00443	8	9455	Old	4EBP1_pT70	-0.003809
AGID00120	985	4937	Old	53BP1	0.25319
AGID00004	13	3661	Old	ACC_pS79	-0.35862
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.25944
AGID00408	2372	3658	Set179	AceCS1	-0.8810177
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.7221
AGID00404	2367	9189	Set179	ACSL1	0.7372712
AGID02144	2450	PA5-27081	Old	ACVRL1	0.020332
AGID00186	1198	ab88574	Old	ADAR1	0.7308
AGID00146	1084	4691	Old	AKT	-0.22765
AGID00028	230	9271	Old	AKT_pS473	-0.91471
AGID00170	1154	2965	Old	AKT_pT308	-1.1281
AGID00316	1800	3063	Set179	Akt2	0.6244362
AGID00347	2009	8599	Set179	Akt2_pS474	-0.2539621
AGID02215	2577	ab195377	Set179	ALKBH5	1.893066
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.2159604
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2758361
AGID00006	39	2532	Old	AMPKALPHA	-0.32323
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.4561
AGID00193	1208	610066	Old	ANNEXIN1	-0.90175
AGID00166	1142	610668	Old	ANNEXINVII	0.13101
AGID00371	756	1852-1/ab52615	Old	AR	-0.38568
AGID00194	1217	4432	Old	ARAF	0.51756
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0051839
AGID00260	1053	sc-32761	Old	ARID1A	0.26673
AGID00264	1560	HPA029318	Old	ASNS	0.21092
AGID00276	1612	3415	Set179	Atg3	0.8771552
AGID00309	1775	13507	Set179	Atg4B	-0.3211343
AGID00310	1776	12994	Set179	Atg5	0.4595655
AGID00277	1613	8558	Set179	Atg7	1.333257
AGID00242	1363	2873	Old	ATM	1.209
AGID02142	2447	13050	Set179	ATM_pS1981	0.5899664
AGID00217	1289	ab14748	Set179	ATP5A	1.625149
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.4470879
AGID02150	2456	13934	Set179	ATR	-0.02807264
AGID00315	1795	ab178407	Set179	ATR_pS428	0.2244016
AGID00268	1569	ab97508	Set179	ATRX	0.2212292
AGID00391	2332	14475	Set179	Aurora-A	0.2513261
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.2002978
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.08897555
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.4334887
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.1693701
AGID00301	1725	14058	Set179	B7-H3	-0.7039503
AGID00302	1726	14572	Set179	B7-H4	-0.448349
AGID00008	63	9291	Old	BAD_pS112	0.054478
AGID00009	71	1542-1/ab32371	Old	BAK	0.89486
AGID00192	1207	sc-28383	Old	BAP1C4	-0.0053983
AGID00010	73	2772	Old	BAX	-0.20601
AGID00433	80	M0887	Old	BCL2	0.036124
AGID00219	1299	PAB8528	Old	BCL2A1	-0.14671
AGID00012	84	1018-1	Old	BCLXL	-0.26024
AGID00377	87	sc-10086	Old	BECLIN	0.36177
AGID00011	75	9562	Old	BETACATENIN	-1.7949
AGID00013	88	1008-1/ab32060	Old	BID	-0.3894
AGID00180	90	1036-1/ab32158	Old	BIM	-0.022202
AGID00221	1311	610978	Set179	BiP-GRP78	-0.08492002
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.08906524
AGID00355	92	1647/ab33899	Old	BRAF	-0.16219
AGID00014	94	2696	Old	BRAF_pS445	-0.039455
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.16185
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.277933
AGID00278	1615	3130	Set179	c-IAP2	0.4143253
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.17933
AGID00429	2407	2679	Set179	Calnexin	-0.01185085
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.00455724
AGID00623	111	9665	Old	CASPASE3	0.26863
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.439
AGID00118	951	9746	Old	CASPASE8	-0.031631
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.3358
AGID00358	2100	ab76000	Set179	CD134	-0.4318324
AGID00303	1737	826701	Set179	CD171	-0.1238658
AGID00410	125	1632-1/ab78237	Old	CD20	0.13491
AGID00220	1308	ab28340	Old	CD26	-0.14582
AGID00191	1206	610467	Set179	CD29	-0.09579113
AGID00017	127	M0823	Old	CD31	0.1739
AGID00369	2174	ab108403	Set179	CD38	0.4584821
