AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.20061
AGID00111	913	sc-23957	Old	1433EPSILON	0.25363
AGID00101	883	sc-1019	Old	1433ZETA	-0.51092
AGID00001	2	9452	Old	4EBP1	0.6036
AGID00002	3	9456	Old	4EBP1_pS65	-0.016667
AGID00003	6	9459	Old	4EBP1_pT37T46	0.19858
AGID00443	8	9455	Old	4EBP1_pT70	0.059138
AGID00120	985	4937	Old	53BP1	-0.56552
AGID00004	13	3661	Old	ACC_pS79	-0.41839
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.27375
AGID00408	2372	3658	Set179	AceCS1	-0.4392897
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.7894
AGID00404	2367	9189	Set179	ACSL1	-0.2860596
AGID02144	2450	PA5-27081	Old	ACVRL1	0.63796
AGID00186	1198	ab88574	Old	ADAR1	0.20462
AGID00146	1084	4691	Old	AKT	0.91815
AGID00028	230	9271	Old	AKT_pS473	-0.58717
AGID00170	1154	2965	Old	AKT_pT308	-0.85047
AGID00316	1800	3063	Set179	Akt2	-0.2677634
AGID00347	2009	8599	Set179	Akt2_pS474	0.4915965
AGID02215	2577	ab195377	Set179	ALKBH5	1.965816
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.1528566
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.1593038
AGID00006	39	2532	Old	AMPKALPHA	0.010248
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.45693
AGID00193	1208	610066	Old	ANNEXIN1	1.0124
AGID00166	1142	610668	Old	ANNEXINVII	-0.0592
AGID00371	756	1852-1/ab52615	Old	AR	-1.373
AGID00194	1217	4432	Old	ARAF	1.0565
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17128
AGID00260	1053	sc-32761	Old	ARID1A	0.063982
AGID00264	1560	HPA029318	Old	ASNS	0.14941
AGID00276	1612	3415	Set179	Atg3	-0.1124987
AGID00309	1775	13507	Set179	Atg4B	0.02393018
AGID00310	1776	12994	Set179	Atg5	-0.1722031
AGID00277	1613	8558	Set179	Atg7	-0.02389826
AGID00242	1363	2873	Old	ATM	-0.85199
AGID02142	2447	13050	Set179	ATM_pS1981	1.677412
AGID00217	1289	ab14748	Set179	ATP5A	1.627684
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.1216181
AGID02150	2456	13934	Set179	ATR	0.1188729
AGID00315	1795	ab178407	Set179	ATR_pS428	0.08683313
AGID00268	1569	ab97508	Set179	ATRX	-2.232486
AGID00391	2332	14475	Set179	Aurora-A	-0.03080052
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.219637
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.8916299
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.8486105
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.1555931
AGID00301	1725	14058	Set179	B7-H3	1.45277
AGID00302	1726	14572	Set179	B7-H4	-0.3595607
AGID00008	63	9291	Old	BAD_pS112	0.10888
AGID00009	71	1542-1/ab32371	Old	BAK	-0.072686
AGID00192	1207	sc-28383	Old	BAP1C4	-0.33752
AGID00010	73	2772	Old	BAX	-0.23101
AGID00433	80	M0887	Old	BCL2	-0.40176
AGID00219	1299	PAB8528	Old	BCL2A1	0.14318
AGID00012	84	1018-1	Old	BCLXL	-0.67029
AGID00377	87	sc-10086	Old	BECLIN	0.061662
AGID00011	75	9562	Old	BETACATENIN	-0.80558
AGID00013	88	1008-1/ab32060	Old	BID	-0.12891
AGID00180	90	1036-1/ab32158	Old	BIM	-0.8346
AGID00221	1311	610978	Set179	BiP-GRP78	0.1146514
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.2769277
AGID00355	92	1647/ab33899	Old	BRAF	-0.000852
AGID00014	94	2696	Old	BRAF_pS445	0.41602
AGID00445	761	9012	Old	BRCA2	0.62671
AGID00266	1567	13440	Old	BRD4	-0.54543
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.363802
AGID00278	1615	3130	Set179	c-IAP2	-0.4971713
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.12477
